rs,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent
08111,Stuttgart,Baden-Württemberg,08,623738,310492,313246,71546,29960,41586,11.5,9.6,13.3
08115,Böblingen,Baden-Württemberg,08,381281,189163,192118,41897,17156,24741,11.0,9.1,12.9
08116,Esslingen,Baden-Württemberg,08,524127,260597,263530,58377,24021,34356,11.1,9.2,13.0
08117,Göppingen,Baden-Württemberg,08,252749,125606,127143,24407,9211,15196,9.7,7.3,12.0
08118,Ludwigsburg,Baden-Württemberg,08,534074,264678,269396,49496,19186,30310,9.3,7.2,11.3
08119,Rems-Murr-Kreis,Baden-Württemberg,08,419456,207145,212311,45321,17489,27832,10.8,8.4,13.1
08121,Heilbronn,Baden-Württemberg,08,122567,61268,61299,19428,8087,11341,15.9,13.2,18.5
08125,Heilbronn,Baden-Württemberg,08,334388,167488,166900,33574,13231,20343,10.0,7.9,12.2
08126,Hohenlohekreis,Baden-Württemberg,08,110181,55569,54612,11828,4609,7219,10.7,8.3,13.2
08127,Schwäbisch Hall,Baden-Württemberg,08,191614,96187,95427,22111,8638,13473,11.5,9.0,14.1
08128,Main-Tauber-Kreis,Baden-Württemberg,08,132181,65891,66290,14452,5503,8949,10.9,8.4,13.5
08135,Heidenheim,Baden-Württemberg,08,130527,64896,65631,12987,4829,8158,9.9,7.4,12.4
08136,Ostalbkreis,Baden-Württemberg,08,312650,155797,156853,33744,12794,20950,10.8,8.2,13.4
08211,Baden-Baden,Baden-Württemberg,08,54160,25769,28391,8349,3116,5233,15.4,12.1,18.4
08212,Karlsruhe,Baden-Württemberg,08,307755,156686,151069,36742,15234,21508,11.9,9.7,14.2
08215,Karlsruhe,Baden-Württemberg,08,435841,216383,219458,45929,17848,28081,10.5,8.2,12.8
08216,Rastatt,Baden-Württemberg,08,227474,112509,114965,21623,8478,13145,9.5,7.5,11.4
08221,Heidelberg,Baden-Württemberg,08,156267,74954,81313,20647,8216,12431,13.2,11.0,15.3
08222,Mannheim,Baden-Württemberg,08,305780,152868,152912,38056,15491,22565,12.4,10.1,14.8
08225,Neckar-Odenwald-Kreis,Baden-Württemberg,08,142936,71596,71340,12605,4644,7961,8.8,6.5,11.2
08226,Rhein-Neckar-Kreis,Baden-Württemberg,08,541859,266128,275731,50892,19590,31302,9.4,7.4,11.4
08231,Pforzheim,Baden-Württemberg,08,122247,59901,62346,13772,5326,8446,11.3,8.9,13.5
08235,Calw,Baden-Württemberg,08,155359,77683,77676,15014,5829,9185,9.7,7.5,11.8
08236,Enzkreis,Baden-Württemberg,08,196066,97100,98966,17138,6798,10340,8.7,7.0,10.4
08237,Freudenstadt,Baden-Württemberg,08,116233,57866,58367,13447,5116,8331,11.6,8.8,14.3
08311,Freiburg im Breisgau,Baden-Württemberg,08,226393,107913,118480,31810,13279,18531,14.1,12.3,15.6
08315,Breisgau-Hochschwarzwald,Baden-Württemberg,08,257343,126585,130758,30895,12196,18699,12.0,9.6,14.3
08316,Emmendingen,Baden-Württemberg,08,162082,79920,82162,18966,7725,11241,11.7,9.7,13.7
08317,Ortenaukreis,Baden-Württemberg,08,420106,208393,211713,51033,20221,30812,12.1,9.7,14.6
08325,Rottweil,Baden-Württemberg,08,137500,68504,68996,16893,6931,9962,12.3,10.1,14.4
08326,Schwarzwald-Baar-Kreis,Baden-Württemberg,08,209648,103904,105744,26009,10957,15052,12.4,10.5,14.2
08327,Tuttlingen,Baden-Württemberg,08,136606,68387,68219,16650,7128,9522,12.2,10.4,14.0
08335,Konstanz,Baden-Württemberg,08,280288,136421,143867,35366,14539,20827,12.6,10.7,14.5
08336,Lörrach,Baden-Württemberg,08,226708,110935,115773,22463,8084,14379,9.9,7.3,12.4
08337,Waldshut,Baden-Württemberg,08,167861,83106,84755,17275,6263,11012,10.3,7.5,13.0
08415,Reutlingen,Baden-Württemberg,08,282113,139634,142479,31541,12540,19001,11.2,9.0,13.3
08416,Tübingen,Baden-Württemberg,08,221837,108268,113569,24680,9856,14824,11.1,9.1,13.1
08417,Zollernalbkreis,Baden-Württemberg,08,188595,93608,94987,20043,8297,11746,10.6,8.9,12.4
08421,Ulm,Baden-Württemberg,08,122636,60400,62236,25204,10686,14518,20.6,17.7,23.3
08425,Alb-Donau-Kreis,Baden-Württemberg,08,192104,96733,95371,18984,7784,11200,9.9,8.0,11.7
08426,Biberach,Baden-Württemberg,08,194019,97540,96479,23044,9282,13762,11.9,9.5,14.3
08435,Bodenseekreis,Baden-Württemberg,08,212201,104569,107632,25017,9143,15874,11.8,8.7,14.7
08436,Ravensburg,Baden-Württemberg,08,279296,138713,140583,37949,14873,23076,13.6,10.7,16.4
08437,Sigmaringen,Baden-Württemberg,08,130772,65635,65137,14916,6032,8884,11.4,9.2,13.6
