ags,name,bundesland_id,bundesland,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,mj_wohnort_insgesamt,mj_wohnort_ausschliesslich,mj_wohnort_nebenjob,mj_arbeitsort_insgesamt,mj_arbeitsort_ausschliesslich,mj_arbeitsort_nebenjob,mj_wohnort_insgesamt_prozent,mj_wohnort_ausschliesslich_prozent,mj_wohnort_nebenjob_prozent,mj_arbeitsort_insgesamt_prozent,mj_arbeitsort_ausschliesslich_prozent,mj_arbeitsort_nebenjob_prozent
12051000,"Brandenburg an der Havel, Stadt",12,Brandenburg,71574,35323,36251,3561,2753,808,3833,2939,894,5.0,3.8,1.1,5.4,4.1,1.2
12052000,"Cottbus, Stadt",12,Brandenburg,99687,49100,50587,6147,4738,1409,8083,6235,1848,6.2,4.8,1.4,8.1,6.3,1.9
12053000,"Frankfurt (Oder), Stadt",12,Brandenburg,58092,27989,30103,2959,2184,775,4014,3053,961,5.1,3.8,1.3,6.9,5.3,1.7
12054000,"Potsdam, Stadt",12,Brandenburg,167745,80854,86891,9383,6539,2844,12408,8814,3594,5.6,3.9,1.7,7.4,5.3,2.1
12060005,Ahrensfelde,12,Brandenburg,12954,6492,6462,694,430,264,701,462,239,5.4,3.3,2.0,5.4,3.6,1.8
12060020,"Bernau bei Berlin, Stadt",12,Brandenburg,37169,18105,19064,1871,1269,602,1817,1271,546,5.0,3.4,1.6,4.9,3.4,1.5
12060052,"Eberswalde, Stadt",12,Brandenburg,39303,19283,20020,2055,1604,451,2103,1639,464,5.2,4.1,1.1,5.4,4.2,1.2
12060181,Panketal,12,Brandenburg,20131,9962,10169,914,585,329,599,400,199,4.5,2.9,1.6,3.0,2.0,1.0
12060198,Schorfheide,12,Brandenburg,9908,4973,4935,454,336,118,395,296,99,4.6,3.4,1.2,4.0,3.0,1.0
12060269,Wandlitz,12,Brandenburg,22095,11120,10975,1020,659,361,797,520,277,4.6,3.0,1.6,3.6,2.4,1.3
12060280,"Werneuchen, Stadt",12,Brandenburg,8321,4186,4135,429,297,132,340,249,91,5.2,3.6,1.6,4.1,3.0,1.1
12060024,"Biesenthal, Stadt",12,Brandenburg,5679,2814,2865,248,171,77,191,148,43,4.4,3.0,1.4,3.4,2.6,0.8
12060034,Breydin,12,Brandenburg,781,393,388,42,32,10,14,-1,-1,5.4,4.1,1.3,1.8,,
12060154,Marienwerder,12,Brandenburg,1745,888,857,94,64,30,53,38,15,5.4,3.7,1.7,3.0,2.2,0.9
12060161,Melchow,12,Brandenburg,932,475,457,44,35,9,25,20,5,4.7,3.8,1.0,2.7,2.1,0.5
12060192,Rüdnitz,12,Brandenburg,1980,1004,976,110,70,40,40,31,9,5.6,3.5,2.0,2.0,1.6,0.5
12060250,Sydower Fließ,12,Brandenburg,921,471,450,40,26,14,13,-1,-1,4.3,2.8,1.5,1.4,,
12060012,Althüttendorf,12,Brandenburg,614,331,283,28,24,4,31,24,7,4.6,3.9,0.7,5.0,3.9,1.1
12060068,Friedrichswalde,12,Brandenburg,807,412,395,50,27,23,30,21,9,6.2,3.3,2.9,3.7,2.6,1.1
12060100,"Joachimsthal, Stadt",12,Brandenburg,3465,1731,1734,188,137,51,148,112,36,5.4,4.0,1.5,4.3,3.2,1.0
12060296,Ziethen,12,Brandenburg,449,233,216,21,-1,-1,20,16,4,4.7,,,4.5,3.6,0.9
12060036,Britz,12,Brandenburg,2137,1058,1079,105,79,26,71,57,14,4.9,3.7,1.2,3.3,2.7,0.7
12060045,Chorin,12,Brandenburg,2265,1114,1151,98,74,24,68,49,19,4.3,3.3,1.1,3.0,2.2,0.8
12060092,Hohenfinow,12,Brandenburg,526,287,239,36,27,9,15,12,3,6.8,5.1,1.7,2.9,2.3,0.6
12060128,Liepe,12,Brandenburg,647,341,306,26,19,7,18,15,3,4.0,2.9,1.1,2.8,2.3,0.5
12060149,Lunow-Stolzenhagen,12,Brandenburg,1208,596,612,77,67,10,39,-1,-1,6.4,5.5,0.8,3.2,,
12060172,Niederfinow,12,Brandenburg,619,307,312,20,13,7,13,-1,-1,3.2,2.1,1.1,2.1,,
