rs,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent
06411,Darmstadt,Hessen,06,155353,78915,76438,20291,8964,11327,13.1,11.4,14.8
06412,Frankfurt am Main,Hessen,06,732688,362515,370173,81104,34123,46981,11.1,9.4,12.7
06413,Offenbach am Main,Hessen,06,123734,61609,62125,11770,5489,6281,9.5,8.9,10.1
06414,Wiesbaden,Hessen,06,276218,131901,144317,26964,10693,16271,9.8,8.1,11.3
06431,Bergstraße,Hessen,06,266928,131828,135100,25512,9731,15781,9.6,7.4,11.7
06432,Darmstadt-Dieburg,Hessen,06,292773,145418,147355,26881,10447,16434,9.2,7.2,11.2
06433,Groß-Gerau,Hessen,06,266042,132655,133387,23333,10217,13116,8.8,7.7,9.8
06434,Hochtaunuskreis,Hessen,06,233427,112797,120630,19743,7511,12232,8.5,6.7,10.1
06435,Main-Kinzig-Kreis,Hessen,06,411956,202592,209364,36223,13919,22304,8.8,6.9,10.7
06436,Main-Taunus-Kreis,Hessen,06,232848,113592,119256,20403,8167,12236,8.8,7.2,10.3
06437,Odenwaldkreis,Hessen,06,97000,48140,48860,9431,3709,5722,9.7,7.7,11.7
06438,Offenbach,Hessen,06,347357,171164,176193,33130,13112,20018,9.5,7.7,11.4
06439,Rheingau-Taunus-Kreis,Hessen,06,184114,90514,93600,16589,6409,10180,9.0,7.1,10.9
06440,Wetteraukreis,Hessen,06,301931,149253,152678,25684,9787,15897,8.5,6.6,10.4
06531,Gießen,Hessen,06,262505,129534,132971,30201,12657,17544,11.5,9.8,13.2
06532,Lahn-Dill-Kreis,Hessen,06,253167,124914,128253,25084,9445,15639,9.9,7.6,12.2
06533,Limburg-Weilburg,Hessen,06,171922,85410,86512,16463,6156,10307,9.6,7.2,11.9
06534,Marburg-Biedenkopf,Hessen,06,245241,120775,124466,25061,9730,15331,10.2,8.1,12.3
06535,Vogelsbergkreis,Hessen,06,107256,53707,53549,10720,4188,6532,10.0,7.8,12.2
06611,Kassel,Hessen,06,197984,96659,101325,25883,11661,14222,13.1,12.1,14.0
06631,Fulda,Hessen,06,220132,108993,111139,24931,9572,15359,11.3,8.8,13.8
06632,Hersfeld-Rotenburg,Hessen,06,121166,60407,60759,10171,3680,6491,8.4,6.1,10.7
06633,Kassel,Hessen,06,235813,115972,119841,18074,6791,11283,7.7,5.9,9.4
06634,Schwalm-Eder-Kreis,Hessen,06,180310,90229,90081,15043,5451,9592,8.3,6.0,10.6
06635,Waldeck-Frankenberg,Hessen,06,157592,78655,78937,15730,5916,9814,10.0,7.5,12.4
06636,Werra-Meißner-Kreis,Hessen,06,100715,49582,51133,7779,2763,5016,7.7,5.6,9.8
