ags,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent,bevoelkerung_ueber_65_jahre,bevoelkerung_unter_25_jahre,bevoelkerung_unter_35_jahre,bevoelkerung_unter_45_jahre,bevoelkerung_unter_55_jahre,bevoelkerung_unter_65_jahre,minijobber_ueber_65_jahre,minijobber_ueber_65_jahre_prozent,minijobber_unter_25_jahre,minijobber_unter_25_jahre_prozent,minijobber_unter_35_jahre,minijobber_unter_35_jahre_prozent,minijobber_unter_45_jahre,minijobber_unter_45_jahre_prozent,minijobber_unter_55_jahre,minijobber_unter_55_jahre_prozent,minijobber_unter_65_jahre,minijobber_unter_65_jahre_prozent
08111,Stuttgart,Baden-Württemberg,08,623738,310492,313246,71546,29960,41586,11.5,9.6,13.3,112325.0,69990.0,115798.0,89156.0,89994.0,66288.0,7232,1.2,15653,2.5,15273,2.4,11698,1.9,12709,2.0,8981,1.4
08115,Böblingen,Baden-Württemberg,08,381281,189163,192118,41897,17156,24741,11.0,9.1,12.9,75327.0,41842.0,48571.0,49165.0,62699.0,48366.0,4703,1.2,9219,2.4,5819,1.5,6978,1.8,8817,2.3,6361,1.7
08116,Esslingen,Baden-Württemberg,08,524127,260597,263530,58377,24021,34356,11.1,9.2,13.0,106245.0,58840.0,66024.0,67054.0,87104.0,65998.0,6725,1.3,12628,2.4,8821,1.7,9656,1.8,12184,2.3,8363,1.6
08117,Göppingen,Baden-Württemberg,08,252749,125606,127143,24407,9211,15196,9.7,7.3,12.0,53744.0,28689.0,29600.0,30358.0,42082.0,34038.0,3120,1.2,3840,1.5,3640,1.4,4277,1.7,5456,2.2,4074,1.6
08118,Ludwigsburg,Baden-Württemberg,08,534074,264678,269396,49496,19186,30310,9.3,7.2,11.3,104540.0,58143.0,68625.0,70248.0,88424.0,67479.0,6087,1.1,8086,1.5,7825,1.5,8960,1.7,11057,2.1,7481,1.4
08119,Rems-Murr-Kreis,Baden-Württemberg,08,419456,207145,212311,45321,17489,27832,10.8,8.4,13.1,86980.0,47428.0,49032.0,51140.0,71814.0,55325.0,5592,1.3,7580,1.8,6684,1.6,8007,1.9,10251,2.4,7207,1.7
08121,Heilbronn,Baden-Württemberg,08,122567,61268,61299,19428,8087,11341,15.9,13.2,18.5,24318.0,14391.0,17738.0,16089.0,17984.0,14623.0,2267,1.8,3696,3.0,3185,2.6,3491,2.8,3960,3.2,2829,2.3
08125,Heilbronn,Baden-Württemberg,08,334388,167488,166900,33574,13231,20343,10.0,7.9,12.2,62684.0,38662.0,40806.0,42522.0,57493.0,45048.0,4246,1.3,5366,1.6,4954,1.5,6161,1.8,7600,2.3,5247,1.6
08126,Hohenlohekreis,Baden-Württemberg,08,110181,55569,54612,11828,4609,7219,10.7,8.3,13.2,20636.0,13332.0,13795.0,13285.0,18478.0,15202.0,1594,1.4,1678,1.5,1698,1.5,2059,1.9,2642,2.4,2157,2.0
08127,Schwäbisch Hall,Baden-Württemberg,08,191614,96187,95427,22111,8638,13473,11.5,9.0,14.1,35616.0,22443.0,24338.0,23113.0,31672.0,26867.0,2856,1.5,3997,2.1,3162,1.7,3675,1.9,4590,2.4,3831,2.0
08128,Main-Tauber-Kreis,Baden-Württemberg,08,132181,65891,66290,14452,5503,8949,10.9,8.4,13.5,28490.0,15122.0,15176.0,15121.0,21705.0,19320.0,2334,1.8,2278,1.7,1787,1.4,2192,1.7,3010,2.3,2851,2.2
08135,Heidenheim,Baden-Württemberg,08,130527,64896,65631,12987,4829,8158,9.9,7.4,12.4,28353.0,15062.0,15393.0,15164.0,20973.0,17679.0,1507,1.2,2343,1.8,1968,1.5,2208,1.7,2847,2.2,2114,1.6
08136,Ostalbkreis,Baden-Württemberg,08,312650,155797,156853,33744,12794,20950,10.8,8.2,13.4,62082.0,38078.0,37547.0,37892.0,50499.0,42228.0,4180,1.3,6323,2.0,5091,1.6,5486,1.8,7217,2.3,5447,1.7
08211,Baden-Baden,Baden-Württemberg,08,54160,25769,28391,8349,3116,5233,15.4,12.1,18.4,14289.0,5293.0,5851.0,6109.0,8867.0,7571.0,1200,2.2,1596,2.9,1124,2.1,1212,2.2,1709,3.2,1508,2.8
08212,Karlsruhe,Baden-Württemberg,08,307755,156686,151069,36742,15234,21508,11.9,9.7,14.2,56786.0,40667.0,53919.0,39112.0,45252.0,34737.0,4054,1.3,8373,2.7,6913,2.2,5317,1.7,6711,2.2,5374,1.7
08215,Karlsruhe,Baden-Württemberg,08,435841,216383,219458,45929,17848,28081,10.5,8.2,12.8,89434.0,47587.0,50684.0,53270.0,75108.0,61038.0,5594,1.3,8541,2.0,7538,1.7,7068,1.6,9657,2.2,7531,1.7
08216,Rastatt,Baden-Württemberg,08,227474,112509,114965,21623,8478,13145,9.5,7.5,11.4,47365.0,24740.0,26181.0,26793.0,39101.0,33150.0,2901,1.3,3244,1.4,3121,1.4,3678,1.6,4806,2.1,3873,1.7
08221,Heidelberg,Baden-Württemberg,08,156267,74954,81313,20647,8216,12431,13.2,11.0,15.3,25382.0,24306.0,32376.0,19732.0,20464.0,16128.0,1872,1.2,5999,3.8,5011,3.2,2458,1.6,2927,1.9,2380,1.5
08222,Mannheim,Baden-Württemberg,08,305780,152868,152912,38056,15491,22565,12.4,10.1,14.8,56749.0,39035.0,50350.0,39587.0,45783.0,35611.0,4005,1.3,9128,3.0,7311,2.4,5839,1.9,6724,2.2,5049,1.7
08225,Neckar-Odenwald-Kreis,Baden-Württemberg,08,142936,71596,71340,12605,4644,7961,8.8,6.5,11.2,29705.0,16412.0,15997.0,16328.0,24473.0,21187.0,1870,1.3,1796,1.3,1596,1.1,2000,1.4,2880,2.0,2463,1.7
08226,Rhein-Neckar-Kreis,Baden-Württemberg,08,541859,266128,275731,50892,19590,31302,9.4,7.4,11.4,113114.0,58450.0,63595.0,65710.0,92683.0,73915.0,6741,1.2,9155,1.7,7418,1.4,7861,1.5,11029,2.0,8687,1.6
08231,Pforzheim,Baden-Württemberg,08,122247,59901,62346,13772,5326,8446,11.3,8.9,13.5,24928.0,14900.0,17504.0,14604.0,17832.0,15248.0,1767,1.4,2635,2.2,2247,1.8,2299,1.9,2741,2.2,2083,1.7
08235,Calw,Baden-Württemberg,08,155359,77683,77676,15014,5829,9185,9.7,7.5,11.8,31408.0,18076.0,17447.0,18374.0,26148.0,22077.0,1860,1.2,2374,1.5,2213,1.4,2696,1.7,3303,2.1,2568,1.7
08236,Enzkreis,Baden-Württemberg,08,196066,97100,98966,17138,6798,10340,8.7,7.0,10.4,40429.0,22448.0,21623.0,23001.0,34322.0,27227.0,2289,1.2,2966,1.5,2281,1.2,2740,1.4,3948,2.0,2914,1.5
08237,Freudenstadt,Baden-Württemberg,08,116233,57866,58367,13447,5116,8331,11.6,8.8,14.3,23290.0,13789.0,13388.0,13598.0,19634.0,16368.0,1852,1.6,2375,2.0,1734,1.5,2282,2.0,3011,2.6,2193,1.9
08311,Freiburg im Breisgau,Baden-Württemberg,08,226393,107913,118480,31810,13279,18531,14.1,12.3,15.6,36414.0,33305.0,43014.0,28067.0,31062.0,24501.0,2978,1.3,9059,4.0,7309,3.2,3905,1.7,4702,2.1,3857,1.7
08315,Breisgau-Hochschwarzwald,Baden-Württemberg,08,257343,126585,130758,30895,12196,18699,12.0,9.6,14.3,53921.0,29297.0,28805.0,29847.0,43273.0,35927.0,3947,1.5,6453,2.5,4722,1.8,4850,1.9,6032,2.3,4891,1.9
08316,Emmendingen,Baden-Württemberg,08,162082,79920,82162,18966,7725,11241,11.7,9.7,13.7,32497.0,18195.0,18499.0,19141.0,27956.0,23050.0,2439,1.5,3994,2.5,2849,1.8,2834,1.7,3823,2.4,3027,1.9
08317,Ortenaukreis,Baden-Württemberg,08,420106,208393,211713,51033,20221,30812,12.1,9.7,14.6,84647.0,47495.0,49836.0,48905.0,70472.0,59585.0,6671,1.6,10255,2.4,7251,1.7,7899,1.9,10409,2.5,8546,2.0
08325,Rottweil,Baden-Württemberg,08,137500,68504,68996,16893,6931,9962,12.3,10.1,14.4,28506.0,15918.0,15661.0,15913.0,23142.0,18842.0,2478,1.8,3104,2.3,2294,1.7,2668,1.9,3520,2.6,2829,2.1
