ags,name,bundesland_id,bundesland,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,mj_wohnort_insgesamt,mj_wohnort_ausschliesslich,mj_wohnort_nebenjob,mj_arbeitsort_insgesamt,mj_arbeitsort_ausschliesslich,mj_arbeitsort_nebenjob,mj_wohnort_insgesamt_prozent,mj_wohnort_ausschliesslich_prozent,mj_wohnort_nebenjob_prozent,mj_arbeitsort_insgesamt_prozent,mj_arbeitsort_ausschliesslich_prozent,mj_arbeitsort_nebenjob_prozent
09161000,Ingolstadt,09,Bayern,132438,66825,65613,12033,7051,4982,14474,8717,5757,9.1,5.3,3.8,10.9,6.6,4.3
09162000,"München, Landeshauptstadt",09,Bayern,1450381,707150,743231,135613,72636,62977,147249,81670,65579,9.4,5.0,4.3,10.2,5.6,4.5
09163000,Rosenheim,09,Bayern,61844,30273,31571,6666,3803,2863,8415,5045,3370,10.8,6.1,4.6,13.6,8.2,5.4
09171111,"Altötting, St",09,Bayern,12750,6024,6726,1485,848,637,1996,1268,728,11.6,6.7,5.0,15.7,9.9,5.7
09171112,"Burghausen, St",09,Bayern,18259,8878,9381,1595,1002,593,1940,1205,735,8.7,5.5,3.2,10.6,6.6,4.0
09171113,Burgkirchen a.d.Alz,09,Bayern,10257,5094,5163,1149,696,453,845,528,317,11.2,6.8,4.4,8.2,5.1,3.1
09171117,Garching a.d.Alz,09,Bayern,8500,4152,4348,890,552,338,672,422,250,10.5,6.5,4.0,7.9,5.0,2.9
09171118,Haiming,09,Bayern,2421,1204,1217,232,159,73,185,120,65,9.6,6.6,3.0,7.6,5.0,2.7
09171125,"Neuötting, St",09,Bayern,8588,4200,4388,931,562,369,1030,641,389,10.8,6.5,4.3,12.0,7.5,4.5
09171127,Pleiskirchen,09,Bayern,2407,1249,1158,324,199,125,248,138,110,13.5,8.3,5.2,10.3,5.7,4.6
09171131,Teising,09,Bayern,1913,950,963,220,132,88,126,77,49,11.5,6.9,4.6,6.6,4.0,2.6
09171132,"Töging a.Inn, St",09,Bayern,9196,4487,4709,1068,654,414,843,517,326,11.6,7.1,4.5,9.2,5.6,3.5
09171133,"Tüßling, M",09,Bayern,3243,1599,1644,334,208,126,277,167,110,10.3,6.4,3.9,8.5,5.1,3.4
09171137,Winhöring,09,Bayern,4716,2306,2410,486,315,171,630,379,251,10.3,6.7,3.6,13.4,8.0,5.3
09171114,Emmerting,09,Bayern,4130,2073,2057,402,234,168,217,119,98,9.7,5.7,4.1,5.3,2.9,2.4
09171124,Mehring,09,Bayern,2403,1224,1179,178,114,64,171,105,66,7.4,4.7,2.7,7.1,4.4,2.7
09171116,Feichten a.d.Alz,09,Bayern,1157,586,571,126,72,54,76,37,39,10.9,6.2,4.7,6.6,3.2,3.4
09171119,Halsbach,09,Bayern,948,500,448,121,60,61,111,48,63,12.8,6.3,6.4,11.7,5.1,6.6
09171122,Kirchweidach,09,Bayern,2323,1176,1147,287,154,133,285,128,157,12.4,6.6,5.7,12.3,5.5,6.8
09171134,Tyrlaching,09,Bayern,948,484,464,95,57,38,55,26,29,10.0,6.0,4.0,5.8,2.7,3.1
09171123,"Marktl, M",09,Bayern,2677,1367,1310,257,158,99,330,208,122,9.6,5.9,3.7,12.3,7.8,4.6
09171130,Stammham,09,Bayern,985,496,489,101,66,35,48,33,15,10.3,6.7,3.6,4.9,3.4,1.5
09171115,Erlbach,09,Bayern,1171,577,594,139,74,65,76,39,37,11.9,6.3,5.6,6.5,3.3,3.2
09171126,Perach,09,Bayern,1240,600,640,135,82,53,68,40,28,10.9,6.6,4.3,5.5,3.2,2.3
09171129,Reischach,09,Bayern,2539,1268,1271,333,203,130,189,122,67,13.1,8.0,5.1,7.4,4.8,2.6
09171121,Kastl,09,Bayern,2725,1354,1371,303,195,108,218,119,99,11.1,7.2,4.0,8.0,4.4,3.6
09171135,Unterneukirchen,09,Bayern,2989,1521,1468,376,221,155,265,149,116,12.6,7.4,5.2,8.9,5.0,3.9
09172111,Ainring,09,Bayern,9672,4759,4913,1018,632,386,707,429,278,10.5,6.5,4.0,7.3,4.4,2.9
09172112,Anger,09,Bayern,4398,2266,2132,530,332,198,351,220,131,12.1,7.5,4.5,8.0,5.0,3.0
09172114,"Bad Reichenhall, GKSt",09,Bayern,17443,8241,9202,1817,1110,707,2301,1499,802,10.4,6.4,4.1,13.2,8.6,4.6
09172115,Bayerisch Gmain,09,Bayern,3110,1558,1552,245,150,95,342,235,107,7.9,4.8,3.1,11.0,7.6,3.4
09172116,"Berchtesgaden, M",09,Bayern,7888,3852,4036,857,510,347,1068,681,387,10.9,6.5,4.4,13.5,8.6,4.9
09172117,Bischofswiesen,09,Bayern,7500,3659,3841,820,496,324,527,325,202,10.9,6.6,4.3,7.0,4.3,2.7
09172118,"Freilassing, St",09,Bayern,16522,7999,8523,1490,915,575,1798,1112,686,9.0,5.5,3.5,10.9,6.7,4.2
09172122,"Laufen, St",09,Bayern,6954,3502,3452,573,413,160,616,420,196,8.2,5.9,2.3,8.9,6.0,2.8
09172124,"Marktschellenberg, M",09,Bayern,1741,882,859,193,139,54,120,75,45,11.1,8.0,3.1,6.9,4.3,2.6
09172128,Piding,09,Bayern,5384,2600,2784,605,396,209,487,303,184,11.2,7.4,3.9,9.0,5.6,3.4
