ags,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent
12051,Brandenburg an der Havel,Brandenburg,12,71574,35323,36251,4160,2161,1999,5.8,6.1,5.5
12052,Cottbus,Brandenburg,12,99687,49100,50587,8737,4093,4644,8.8,8.3,9.2
12053,Frankfurt (Oder),Brandenburg,12,58092,27989,30103,4151,1795,2356,7.1,6.4,7.8
12054,Potsdam,Brandenburg,12,167745,80854,86891,13397,6014,7383,8.0,7.4,8.5
12060,Barnim,Brandenburg,12,177411,87997,89414,8170,3835,4335,4.6,4.4,4.8
12061,Dahme-Spreewald,Brandenburg,12,164528,81587,82941,8225,3685,4540,5.0,4.5,5.5
12062,Elbe-Elster,Brandenburg,12,104673,51820,52853,4766,1906,2860,4.6,3.7,5.4
12063,Havelland,Brandenburg,12,158236,78316,79920,7545,3281,4264,4.8,4.2,5.3
12064,Märkisch-Oderland,Brandenburg,12,190714,94906,95808,8458,3818,4640,4.4,4.0,4.8
12065,Oberhavel,Brandenburg,12,207524,102478,105046,9990,4665,5325,4.8,4.6,5.1
12066,Oberspreewald-Lausitz,Brandenburg,12,112450,55287,57163,5731,2341,3390,5.1,4.2,5.9
12067,Oder-Spree,Brandenburg,12,182397,90953,91444,7974,3685,4289,4.4,4.1,4.7
12068,Ostprignitz-Ruppin,Brandenburg,12,99110,49332,49778,4980,2185,2795,5.0,4.4,5.6
12069,Potsdam-Mittelmark,Brandenburg,12,210910,104720,106190,15351,5788,9563,7.3,5.5,9.0
12070,Prignitz,Brandenburg,12,77573,38556,39017,3512,1544,1968,4.5,4.0,5.0
12071,Spree-Neiße,Brandenburg,12,117635,58059,59576,5661,2495,3166,4.8,4.3,5.3
12072,Teltow-Fläming,Brandenburg,12,163553,81514,82039,7701,3797,3904,4.7,4.7,4.8
12073,Uckermark,Brandenburg,12,121014,59492,61522,5569,2355,3214,4.6,4.0,5.2
