ags,name,bundesland_id,bundesland,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,mj_wohnort_insgesamt,mj_wohnort_ausschliesslich,mj_wohnort_nebenjob,mj_arbeitsort_insgesamt,mj_arbeitsort_ausschliesslich,mj_arbeitsort_nebenjob,mj_wohnort_insgesamt_prozent,mj_wohnort_ausschliesslich_prozent,mj_wohnort_nebenjob_prozent,mj_arbeitsort_insgesamt_prozent,mj_arbeitsort_ausschliesslich_prozent,mj_arbeitsort_nebenjob_prozent
06411000,"Darmstadt, Wissenschaftsstadt",06,Hessen,155353,78915,76438,14906,10286,4620,19376,13149,6227,9.6,6.6,3.0,12.5,8.5,4.0
06412000,"Frankfurt am Main, Stadt",06,Hessen,732688,362515,370173,58582,35867,22715,78706,48248,30458,8.0,4.9,3.1,10.7,6.6,4.2
06413000,"Offenbach am Main, Stadt",06,Hessen,123734,61609,62125,11959,7283,4676,11736,7522,4214,9.7,5.9,3.8,9.5,6.1,3.4
06414000,"Wiesbaden, Landeshauptstadt",06,Hessen,276218,131901,144317,25160,15555,9605,26104,16367,9737,9.1,5.6,3.5,9.5,5.9,3.5
06431001,Abtsteinach,06,Hessen,2360,1179,1181,227,156,71,157,109,48,9.6,6.6,3.0,6.7,4.6,2.0
06431002,"Bensheim, Stadt",06,Hessen,40051,19562,20489,3875,2592,1283,4417,2940,1477,9.7,6.5,3.2,11.0,7.3,3.7
06431003,Biblis,06,Hessen,8910,4525,4385,742,547,195,501,373,128,8.3,6.1,2.2,5.6,4.2,1.4
06431004,Birkenau,06,Hessen,9933,4827,5106,1102,791,311,814,571,243,11.1,8.0,3.1,8.2,5.7,2.4
06431005,"Bürstadt, Stadt",06,Hessen,16060,7987,8073,1519,1071,448,1083,769,314,9.5,6.7,2.8,6.7,4.8,2.0
06431006,Einhausen,06,Hessen,6281,3155,3126,579,368,211,298,229,69,9.2,5.9,3.4,4.7,3.6,1.1
06431007,Fürth,06,Hessen,10465,5204,5261,1154,768,386,943,635,308,11.0,7.3,3.7,9.0,6.1,2.9
06431008,Gorxheimertal,06,Hessen,4160,2085,2075,420,278,142,196,120,76,10.1,6.7,3.4,4.7,2.9,1.8
06431009,Grasellenbach,06,Hessen,3995,2070,1925,425,297,128,304,188,116,10.6,7.4,3.2,7.6,4.7,2.9
06431010,Groß-Rohrheim,06,Hessen,3768,1911,1857,304,201,103,244,162,82,8.1,5.3,2.7,6.5,4.3,2.2
06431011,"Heppenheim (Bergstraße), Kreisstadt",06,Hessen,25284,12405,12879,2651,1745,906,2609,1702,907,10.5,6.9,3.6,10.3,6.7,3.6
