ags,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent,bevoelkerung_ueber_65_jahre,bevoelkerung_unter_25_jahre,bevoelkerung_unter_35_jahre,bevoelkerung_unter_45_jahre,bevoelkerung_unter_55_jahre,bevoelkerung_unter_65_jahre,minijobber_ueber_65_jahre,minijobber_ueber_65_jahre_prozent,minijobber_unter_25_jahre,minijobber_unter_25_jahre_prozent,minijobber_unter_35_jahre,minijobber_unter_35_jahre_prozent,minijobber_unter_45_jahre,minijobber_unter_45_jahre_prozent,minijobber_unter_55_jahre,minijobber_unter_55_jahre_prozent,minijobber_unter_65_jahre,minijobber_unter_65_jahre_prozent
06411,Darmstadt,Hessen,06,155353,78915,76438,20291,8964,11327,13.1,11.4,14.8,26960.0,20761.0,28718.0,19327.0,21780.0,17231.0,1768,1.1,5305,3.4,4754,3.1,2660,1.7,3291,2.1,2513,1.6
06412,Frankfurt am Main,Hessen,06,732688,362515,370173,81104,34123,46981,11.1,9.4,12.7,115485.0,73820.0,134467.0,116381.0,112424.0,77838.0,8289,1.1,16509,2.3,16776,2.3,13717,1.9,15185,2.1,10628,1.5
06413,Offenbach am Main,Hessen,06,123734,61609,62125,11770,5489,6281,9.5,8.9,10.1,21032.0,13865.0,19760.0,17062.0,18756.0,14255.0,1304,1.1,2534,2.0,2069,1.7,1883,1.5,2235,1.8,1745,1.4
06414,Wiesbaden,Hessen,06,276218,131901,144317,26964,10693,16271,9.8,8.1,11.3,55062.0,29021.0,37930.0,37186.0,43403.0,33234.0,3019,1.1,5399,2.0,4841,1.8,4497,1.6,5373,1.9,3835,1.4
06431,Bergstraße,Hessen,06,266928,131828,135100,25512,9731,15781,9.6,7.4,11.7,57677.0,28374.0,29466.0,31133.0,47246.0,38681.0,3480,1.3,4658,1.7,3571,1.3,3865,1.4,5538,2.1,4400,1.6
06432,Darmstadt-Dieburg,Hessen,06,292773,145418,147355,26881,10447,16434,9.2,7.2,11.2,59144.0,32358.0,33390.0,35969.0,51408.0,40318.0,3260,1.1,4748,1.6,4072,1.4,4599,1.6,5894,2.0,4308,1.5
06433,Groß-Gerau,Hessen,06,266042,132655,133387,23333,10217,13116,8.8,7.7,9.8,51081.0,29415.0,34622.0,35027.0,44169.0,33275.0,2472,0.9,3899,1.5,3857,1.4,4344,1.6,5275,2.0,3485,1.3
06434,Hochtaunuskreis,Hessen,06,233427,112797,120630,19743,7511,12232,8.5,6.7,10.1,52306.0,22994.0,22804.0,29490.0,41507.0,30040.0,2842,1.2,3400,1.5,2818,1.2,3019,1.3,4389,1.9,3275,1.4
06435,Main-Kinzig-Kreis,Hessen,06,411956,202592,209364,36223,13919,22304,8.8,6.9,10.7,86724.0,44351.0,47713.0,50862.0,70383.0,56720.0,4684,1.1,6546,1.6,5039,1.2,5831,1.4,7899,1.9,6224,1.5
06436,Main-Taunus-Kreis,Hessen,06,232848,113592,119256,20403,8167,12236,8.8,7.2,10.3,49147.0,22597.0,25793.0,30926.0,40717.0,29187.0,2557,1.1,3726,1.6,3212,1.4,3411,1.5,4353,1.9,3144,1.4
