ags,name,bundesland_id,bundesland,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,mj_wohnort_insgesamt,mj_wohnort_ausschliesslich,mj_wohnort_nebenjob,mj_arbeitsort_insgesamt,mj_arbeitsort_ausschliesslich,mj_arbeitsort_nebenjob,mj_wohnort_insgesamt_prozent,mj_wohnort_ausschliesslich_prozent,mj_wohnort_nebenjob_prozent,mj_arbeitsort_insgesamt_prozent,mj_arbeitsort_ausschliesslich_prozent,mj_arbeitsort_nebenjob_prozent
13003000,"Rostock, Hansestadt",13,Mecklenburg-Vorpommern,206011,101078,104933,12874,10085,2789,12543,9692,2851,6.2,4.9,1.4,6.1,4.7,1.4
13004000,"Schwerin, Landeshauptstadt",13,Mecklenburg-Vorpommern,96800,47028,49772,5361,3943,1418,7056,5186,1870,5.5,4.1,1.5,7.3,5.4,1.9
13071027,"Dargun, Stadt",13,Mecklenburg-Vorpommern,4436,2200,2236,170,140,30,128,110,18,3.8,3.2,0.7,2.9,2.5,0.4
13071029,"Demmin, Hansestadt",13,Mecklenburg-Vorpommern,11269,5411,5858,567,479,88,638,527,111,5.0,4.3,0.8,5.7,4.7,1.0
13071033,Feldberger Seenlandschaft,13,Mecklenburg-Vorpommern,4452,2183,2269,223,165,58,218,176,42,5.0,3.7,1.3,4.9,4.0,0.9
13071107,"Neubrandenburg, Stadt",13,Mecklenburg-Vorpommern,63602,30746,32856,3242,2513,729,3662,2815,847,5.1,4.0,1.1,5.8,4.4,1.3
13071110,"Neustrelitz, Stadt",13,Mecklenburg-Vorpommern,20504,9915,10589,1145,885,260,1322,1005,317,5.6,4.3,1.3,6.4,4.9,1.5
13071156,"Waren (Müritz), Stadt",13,Mecklenburg-Vorpommern,21153,9959,11194,1100,819,281,1101,846,255,5.2,3.9,1.3,5.2,4.0,1.2
13071008,Beggerow,13,Mecklenburg-Vorpommern,511,267,244,25,18,7,6,-1,-1,4.9,3.5,1.4,1.2,,
13071014,Borrentin,13,Mecklenburg-Vorpommern,827,410,417,53,40,13,24,21,3,6.4,4.8,1.6,2.9,2.5,0.4
13071064,Hohenbollentin,13,Mecklenburg-Vorpommern,122,59,63,3,3,n/a,-1,-1,-1,2.5,2.5,,-0.8,,
13071065,Hohenmocker,13,Mecklenburg-Vorpommern,452,232,220,25,20,5,10,7,3,5.5,4.4,1.1,2.2,1.5,0.7
13071072,Kentzlin,13,Mecklenburg-Vorpommern,201,98,103,9,9,n/a,-1,-1,-1,4.5,4.5,,-0.5,,
13071076,Kletzin,13,Mecklenburg-Vorpommern,809,434,375,31,22,9,6,-1,-1,3.8,2.7,1.1,0.7,,
13071089,Lindenberg,13,Mecklenburg-Vorpommern,225,116,109,16,12,4,4,4,n/a,7.1,5.3,1.8,1.8,1.8,
13071096,Meesiger,13,Mecklenburg-Vorpommern,225,101,124,21,16,5,-1,-1,-1,9.3,7.1,2.2,-0.4,,
13071112,Nossendorf,13,Mecklenburg-Vorpommern,728,388,340,38,26,12,13,-1,-1,5.2,3.6,1.6,1.8,,
13071128,Sarow,13,Mecklenburg-Vorpommern,701,366,335,32,20,12,17,11,6,4.6,2.9,1.7,2.4,1.6,0.9
13071131,Schönfeld,13,Mecklenburg-Vorpommern,362,189,173,18,14,4,10,6,4,5.0,3.9,1.1,2.8,1.7,1.1
13071136,Siedenbrünzow,13,Mecklenburg-Vorpommern,537,270,267,37,30,7,4,-1,-1,6.9,5.6,1.3,0.7,,
13071139,Sommersdorf,13,Mecklenburg-Vorpommern,237,117,120,16,13,3,-1,-1,-1,6.8,5.5,1.3,-0.4,,
13071148,Utzedel,13,Mecklenburg-Vorpommern,487,243,244,22,-1,-1,-1,-1,-1,4.5,,,-0.2,,
13071150,Verchen,13,Mecklenburg-Vorpommern,394,207,187,16,12,4,-1,-1,-1,4.1,3.0,1.0,-0.3,,
13071157,Warrenzin,13,Mecklenburg-Vorpommern,393,194,199,17,12,5,15,-1,-1,4.3,3.1,1.3,3.8,,
13071028,Datzetal,13,Mecklenburg-Vorpommern,868,428,440,26,21,5,16,-1,-1,3.0,2.4,0.6,1.8,,
13071035,"Friedland, Stadt",13,Mecklenburg-Vorpommern,6779,3374,3405,361,297,64,285,240,45,5.3,4.4,0.9,4.2,3.5,0.7
13071037,Galenbeck,13,Mecklenburg-Vorpommern,1150,572,578,43,29,14,18,12,6,3.7,2.5,1.2,1.6,1.0,0.5
13071038,Genzkow,13,Mecklenburg-Vorpommern,136,75,61,10,-1,-1,-1,-1,-1,7.4,,,-0.7,,
13071007,Basedow,13,Mecklenburg-Vorpommern,708,350,358,47,34,13,24,-1,-1,6.6,4.8,1.8,3.4,,
13071030,Duckow,13,Mecklenburg-Vorpommern,229,117,112,6,6,n/a,-1,-1,-1,2.6,2.6,,-0.4,,
13071032,Faulenrost,13,Mecklenburg-Vorpommern,646,323,323,34,25,9,18,15,3,5.3,3.9,1.4,2.8,2.3,0.5
13071039,Gielow,13,Mecklenburg-Vorpommern,1144,574,570,48,39,9,40,32,8,4.2,3.4,0.8,3.5,2.8,0.7
13071084,Kummerow,13,Mecklenburg-Vorpommern,572,292,280,28,24,4,26,20,6,4.9,4.2,0.7,4.5,3.5,1.0
13071092,"Malchin, Stadt",13,Mecklenburg-Vorpommern,7614,3775,3839,393,323,70,304,245,59,5.2,4.2,0.9,4.0,3.2,0.8
13071109,"Neukalen, Stadt",13,Mecklenburg-Vorpommern,1779,891,888,121,98,23,93,71,22,6.8,5.5,1.3,5.2,4.0,1.2
13071001,Alt Schwerin,13,Mecklenburg-Vorpommern,540,270,270,37,20,17,32,17,15,6.9,3.7,3.1,5.9,3.1,2.8
13071036,Fünfseen,13,Mecklenburg-Vorpommern,1062,528,534,78,61,17,36,30,6,7.3,5.7,1.6,3.4,2.8,0.6
13071043,Göhren-Lebbin,13,Mecklenburg-Vorpommern,612,333,279,24,18,6,67,47,20,3.9,2.9,1.0,10.9,7.7,3.3
13071093,"Malchow, Stadt",13,Mecklenburg-Vorpommern,6582,3176,3406,411,325,86,345,279,66,6.2,4.9,1.3,5.2,4.2,1.0
13071113,Nossentiner Hütte,13,Mecklenburg-Vorpommern,683,337,346,31,22,9,22,16,6,4.5,3.2,1.3,3.2,2.3,0.9
13071114,Penkow,13,Mecklenburg-Vorpommern,284,142,142,16,11,5,15,12,3,5.6,3.9,1.8,5.3,4.2,1.1
13071138,Silz,13,Mecklenburg-Vorpommern,341,161,180,19,12,7,18,15,3,5.6,3.5,2.1,5.3,4.4,0.9
13071155,Walow,13,Mecklenburg-Vorpommern,471,249,222,28,23,5,21,17,4,5.9,4.9,1.1,4.5,3.6,0.8
13071171,Zislow,13,Mecklenburg-Vorpommern,213,103,110,22,16,6,15,12,3,10.3,7.5,2.8,7.0,5.6,1.4
13071099,"Mirow, Stadt",13,Mecklenburg-Vorpommern,3988,1932,2056,248,192,56,205,159,46,6.2,4.8,1.4,5.1,4.0,1.2
13071119,Priepert,13,Mecklenburg-Vorpommern,326,172,154,17,-1,-1,6,6,n/a,5.2,,,1.8,1.8,
13071159,"Wesenberg, Stadt",13,Mecklenburg-Vorpommern,3078,1542,1536,130,95,35,102,71,31,4.2,3.1,1.1,3.3,2.3,1.0
13071167,Wustrow,13,Mecklenburg-Vorpommern,698,366,332,27,21,6,26,20,6,3.9,3.0,0.9,3.7,2.9,0.9
13071011,Blankensee,13,Mecklenburg-Vorpommern,1689,883,806,66,49,17,27,24,3,3.9,2.9,1.0,1.6,1.4,0.2
