ags,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent,bevoelkerung_ueber_65_jahre,bevoelkerung_unter_25_jahre,bevoelkerung_unter_35_jahre,bevoelkerung_unter_45_jahre,bevoelkerung_unter_55_jahre,bevoelkerung_unter_65_jahre,minijobber_ueber_65_jahre,minijobber_ueber_65_jahre_prozent,minijobber_unter_25_jahre,minijobber_unter_25_jahre_prozent,minijobber_unter_35_jahre,minijobber_unter_35_jahre_prozent,minijobber_unter_45_jahre,minijobber_unter_45_jahre_prozent,minijobber_unter_55_jahre,minijobber_unter_55_jahre_prozent,minijobber_unter_65_jahre,minijobber_unter_65_jahre_prozent
03101,Braunschweig,Niedersachsen,03,251364,125001,126363,24828,10137,14691,9.9,8.1,11.6,52158.0,29303.0,41962.0,30899.0,37204.0,29861.0,2926,1.2,5402,2.1,4640,1.8,3359,1.3,4582,1.8,3919,1.6
03102,Salzgitter,Niedersachsen,03,101079,49898,51181,6661,2518,4143,6.6,5.0,8.1,23588.0,11285.0,11353.0,11323.0,15769.0,14177.0,897,0.9,908,0.9,905,0.9,1125,1.1,1497,1.5,1329,1.3
03103,Wolfsburg,Niedersachsen,03,124045,61581,62464,11516,4715,6801,9.3,7.7,10.9,27538.0,12347.0,18184.0,15020.0,18793.0,15870.0,1288,1.0,2830,2.3,2020,1.6,1503,1.2,2015,1.6,1860,1.5
03151,Gifhorn,Niedersachsen,03,174205,87129,87076,11314,4032,7282,6.5,4.6,8.4,33301.0,19389.0,19362.0,20693.0,31272.0,25052.0,1483,0.9,1723,1.0,1371,0.8,1615,0.9,2693,1.5,2429,1.4
03152,Göttingen,Niedersachsen,03,255653,126142,129511,25380,10418,14962,9.9,8.3,11.6,51536.0,34330.0,37065.0,28023.0,39362.0,33485.0,2737,1.1,6571,2.6,5057,2.0,2977,1.2,4214,1.6,3824,1.5
03153,Goslar,Niedersachsen,03,138236,68245,69991,11602,4810,6792,8.4,7.0,9.7,37207.0,14683.0,14244.0,14434.0,22735.0,19988.0,1731,1.3,2088,1.5,1572,1.1,1555,1.1,2466,1.8,2190,1.6
03154,Helmstedt,Niedersachsen,03,91500,45354,46146,5221,1730,3491,5.7,3.8,7.6,21234.0,9224.0,9812.0,10408.0,15995.0,13719.0,842,0.9,621,0.7,587,0.6,775,0.8,1197,1.3,1199,1.3
03155,Northeim,Niedersachsen,03,134896,66394,68502,11225,4272,6953,8.3,6.4,10.2,33147.0,13996.0,13147.0,14444.0,23160.0,20570.0,1775,1.3,1993,1.5,1271,0.9,1418,1.1,2538,1.9,2230,1.7
03156,Osterode am Harz,Niedersachsen,03,73885,36192,37693,5644,2014,3630,7.6,5.6,9.6,20579.0,7127.0,6339.0,7665.0,12408.0,11509.0,856,1.2,857,1.2,605,0.8,817,1.1,1284,1.7,1225,1.7
03157,Peine,Niedersachsen,03,132320,65493,66827,10309,4123,6186,7.8,6.3,9.3,28048.0,14365.0,13401.0,15930.0,23815.0,18209.0,1417,1.1,1818,1.4,1271,1.0,1547,1.2,2383,1.8,1873,1.4
03158,Wolfenbüttel,Niedersachsen,03,120981,59846,61135,7861,2935,4926,6.5,4.9,8.1,27878.0,13228.0,11979.0,13682.0,21665.0,17321.0,1175,1.0,1333,1.1,1070,0.9,1114,0.9,1769,1.5,1400,1.2
03241,Region Hannover,Niedersachsen,03,1144481,559775,584706,112321,46588,65733,9.8,8.3,11.2,239503.0,125663.0,153318.0,142707.0,184586.0,145930.0,13456,1.2,23648,2.1,19635,1.7,17019,1.5,21473,1.9,17090,1.5
03251,Diepholz,Niedersachsen,03,213976,106475,107501,25928,10497,15431,12.1,9.9,14.4,46707.0,23235.0,22224.0,24504.0,38525.0,30341.0,3591,1.7,4748,2.2,3460,1.6,3902,1.8,5811,2.7,4416,2.1
03252,Hameln-Pyrmont,Niedersachsen,03,148281,71606,76675,12836,5069,7767,8.7,7.1,10.1,37110.0,15337.0,14782.0,15943.0,25003.0,21787.0,1847,1.2,2163,1.5,1680,1.1,1935,1.3,2779,1.9,2432,1.6
03254,Hildesheim,Niedersachsen,03,277055,135007,142048,24623,9964,14659,8.9,7.4,10.3,63529.0,32289.0,29839.0,31031.0,47013.0,38513.0,3456,1.2,5697,2.1,3293,1.2,3106,1.1,4831,1.7,4240,1.5
03255,Holzminden,Niedersachsen,03,71659,35481,36178,5847,1954,3893,8.2,5.5,10.8,18232.0,7881.0,7264.0,7309.0,11888.0,10616.0,852,1.2,934,1.3,644,0.9,830,1.2,1365,1.9,1222,1.7
03256,Nienburg (Weser),Niedersachsen,03,120632,59947,60685,11819,4695,7124,9.8,7.8,11.7,26057.0,13558.0,12562.0,13440.0,21223.0,17659.0,1690,1.4,1984,1.6,1536,1.3,1786,1.5,2586,2.1,2237,1.9
03257,Schaumburg,Niedersachsen,03,156206,76229,79977,12854,4694,8160,8.2,6.2,10.2,37789.0,16404.0,15183.0,17127.0,27780.0,22546.0,1996,1.3,2157,1.4,1476,0.9,1772,1.1,2934,1.9,2519,1.6
03351,Celle,Niedersachsen,03,177971,87543,90428,15180,5795,9385,8.5,6.6,10.4,40448.0,19170.0,19492.0,19986.0,29155.0,25176.0,2219,1.2,2593,1.5,1967,1.1,2253,1.3,3228,1.8,2920,1.6
03352,Cuxhaven,Niedersachsen,03,198103,97064,101039,18113,6882,11231,9.1,7.1,11.1,48247.0,20528.0,19257.0,21767.0,33624.0,29030.0,2875,1.5,2925,1.5,2303,1.2,2546,1.3,3996,2.0,3468,1.8
03353,Harburg,Niedersachsen,03,248122,122089,126033,22131,8336,13795,8.9,6.8,10.9,54389.0,25655.0,24745.0,30059.0,45613.0,33013.0,3117,1.3,4638,1.9,2913,1.2,3139,1.3,4808,1.9,3516,1.4
03354,Lüchow-Dannenberg,Niedersachsen,03,50128,24991,25137,3785,1391,2394,7.6,5.6,9.5,13122.0,5132.0,4766.0,5165.0,8090.0,7643.0,605,1.2,452,0.9,411,0.8,537,1.1,899,1.8,881,1.8
03355,Lüneburg,Niedersachsen,03,180719,88448,92271,15427,5864,9563,8.5,6.6,10.4,35041.0,21484.0,21671.0,22723.0,31269.0,23138.0,1925,1.1,3237,1.8,2208,1.2,2226,1.2,3191,1.8,2640,1.5
03356,Osterholz,Niedersachsen,03,113579,56098,57481,9704,3689,6015,8.5,6.6,10.5,25545.0,11963.0,10855.0,13084.0,20762.0,16086.0,1341,1.2,1963,1.7,1253,1.1,1305,1.1,2165,1.9,1677,1.5
03357,Rotenburg (Wümme),Niedersachsen,03,163253,82229,81024,17705,6873,10832,10.8,8.4,13.4,33117.0,19300.0,17983.0,19017.0,28547.0,22584.0,2630,1.6,3313,2.0,2252,1.4,2579,1.6,3822,2.3,3109,1.9
03358,Heidekreis,Niedersachsen,03,140264,70371,69893,14409,5730,8679,10.3,8.1,12.4,30444.0,16301.0,15641.0,15702.0,23604.0,19352.0,1967,1.4,3010,2.1,1816,1.3,2006,1.4,3012,2.1,2598,1.9
03359,Stade,Niedersachsen,03,200054,99894,100160,20455,7996,12459,10.2,8.0,12.4,41341.0,22670.0,22778.0,24387.0,33904.0,26906.0,2729,1.4,4452,2.2,2621,1.3,3058,1.5,4263,2.1,3332,1.7
03360,Uelzen,Niedersachsen,03,93131,45631,47500,7667,2924,4743,8.2,6.4,10.0,22821.0,9876.0,9029.0,10326.0,15952.0,13637.0,1171,1.3,1191,1.3,899,1.0,1138,1.2,1730,1.9,1538,1.7
03361,Verden,Niedersachsen,03,134645,66140,68505,12814,4876,7938,9.5,7.4,11.6,28974.0,14635.0,14311.0,15484.0,23196.0,19008.0,1839,1.4,2400,1.8,1704,1.3,1889,1.4,2761,2.1,2221,1.6
