ags,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent,bevoelkerung_ueber_65_jahre,bevoelkerung_unter_25_jahre,bevoelkerung_unter_35_jahre,bevoelkerung_unter_45_jahre,bevoelkerung_unter_55_jahre,bevoelkerung_unter_65_jahre,minijobber_ueber_65_jahre,minijobber_ueber_65_jahre_prozent,minijobber_unter_25_jahre,minijobber_unter_25_jahre_prozent,minijobber_unter_35_jahre,minijobber_unter_35_jahre_prozent,minijobber_unter_45_jahre,minijobber_unter_45_jahre_prozent,minijobber_unter_55_jahre,minijobber_unter_55_jahre_prozent,minijobber_unter_65_jahre,minijobber_unter_65_jahre_prozent
05111,Düsseldorf,Nordrhein-Westfalen,05,612178,295896,316282,75109,30847,44262,12.3,10.4,14.0,119520.0,59283.0,98168.0,85776.0,96578.0,71966.0,8335,1.4,16457,2.7,13618,2.2,11395,1.9,14605,2.4,10698,1.7
05112,Duisburg,Nordrhein-Westfalen,05,491231,241417,249814,37129,15084,22045,7.6,6.2,8.8,101668.0,56206.0,63437.0,60374.0,78085.0,65141.0,4453,0.9,5939,1.2,5709,1.2,6057,1.2,8254,1.7,6717,1.4
05113,Essen,Nordrhein-Westfalen,05,582624,282565,300059,60551,24471,36080,10.4,8.7,12.0,125539.0,64144.0,81186.0,70236.0,89902.0,77133.0,6934,1.2,11308,1.9,10379,1.8,9265,1.6,12525,2.1,10140,1.7
05114,Krefeld,Nordrhein-Westfalen,05,225144,109487,115657,20927,8111,12816,9.3,7.4,11.1,49314.0,24714.0,27022.0,26121.0,37559.0,30762.0,2680,1.2,3528,1.6,3161,1.4,3295,1.5,4611,2.0,3652,1.6
05116,Mönchengladbach,Nordrhein-Westfalen,05,259996,127512,132484,28281,10704,17577,10.9,8.4,13.3,53678.0,29721.0,33600.0,29919.0,42742.0,36132.0,3306,1.3,5941,2.3,4266,1.6,4171,1.6,5944,2.3,4653,1.8
05117,Mülheim an der Ruhr,Nordrhein-Westfalen,05,169278,81461,87817,15644,6324,9320,9.2,7.8,10.6,40209.0,16990.0,19314.0,19278.0,28268.0,23919.0,1944,1.1,3219,1.9,2248,1.3,2238,1.3,3346,2.0,2649,1.6
05119,Oberhausen,Nordrhein-Westfalen,05,210934,103284,107650,20304,7447,12857,9.6,7.2,11.9,45195.0,22978.0,25887.0,25069.0,34537.0,30604.0,2163,1.0,3324,1.6,2930,1.4,3296,1.6,4642,2.2,3949,1.9
05120,Remscheid,Nordrhein-Westfalen,05,109499,53725,55774,11788,4487,7301,10.8,8.4,13.1,24404.0,11795.0,12084.0,12870.0,18698.0,15198.0,1506,1.4,1712,1.6,1833,1.7,2156,2.0,2688,2.5,1893,1.7
05122,Solingen,Nordrhein-Westfalen,05,158726,76948,81778,13985,5749,8236,8.8,7.5,10.1,34044.0,17594.0,18628.0,18508.0,27282.0,21005.0,1920,1.2,2308,1.5,2099,1.3,2199,1.4,3153,2.0,2306,1.5
05124,Wuppertal,Nordrhein-Westfalen,05,350046,170822,179224,33212,13483,19729,9.5,7.9,11.0,74111.0,39826.0,45860.0,41060.0,56715.0,45256.0,4199,1.2,5898,1.7,5548,1.6,5135,1.5,7086,2.0,5346,1.5
05154,Kleve,Nordrhein-Westfalen,05,310337,154988,155349,34563,13043,21520,11.1,8.4,13.9,61297.0,36594.0,36452.0,35761.0,53998.0,43977.0,4351,1.4,6687,2.2,4529,1.5,4893,1.6,7749,2.5,6354,2.0
05158,Mettmann,Nordrhein-Westfalen,05,483279,233448,249831,46568,18840,27728,9.6,8.1,11.1,113862.0,48209.0,50293.0,54977.0,84021.0,67525.0,6383,1.3,7322,1.5,6556,1.4,7465,1.5,10647,2.2,8195,1.7
05162,Rhein-Kreis Neuss,Nordrhein-Westfalen,05,450026,219650,230376,37887,14489,23398,8.4,6.6,10.2,96059.0,46474.0,49415.0,55158.0,78053.0,62080.0,4765,1.1,6403,1.4,5358,1.2,6093,1.4,8530,1.9,6738,1.5
05166,Viersen,Nordrhein-Westfalen,05,297661,145470,152191,29388,11364,18024,9.9,7.8,11.8,63490.0,32646.0,30952.0,33714.0,55102.0,43020.0,3904,1.3,5044,1.7,3885,1.3,4324,1.5,6965,2.3,5266,1.8
05170,Wesel,Nordrhein-Westfalen,05,462664,226396,236268,48031,17955,30076,10.4,7.9,12.7,102485.0,49262.0,50530.0,51443.0,80344.0,70401.0,6043,1.3,8381,1.8,5845,1.3,6985,1.5,11124,2.4,9653,2.1
05314,Bonn,Nordrhein-Westfalen,05,318809,151954,166855,38938,15901,23037,12.2,10.5,13.8,57629.0,39794.0,49729.0,41222.0,47772.0,36843.0,4739,1.5,8410,2.6,7398,2.3,5315,1.7,7141,2.2,5935,1.9
05315,Köln,Nordrhein-Westfalen,05,1060582,516976,543606,122235,51410,70825,11.5,9.9,13.0,185923.0,117605.0,179080.0,153242.0,165401.0,118132.0,11566,1.1,30426,2.9,24882,2.3,18400,1.7,21814,2.1,15145,1.4
05316,Leverkusen,Nordrhein-Westfalen,05,163487,79590,83897,12746,4723,8023,7.8,5.9,9.6,35356.0,17031.0,19637.0,20000.0,27470.0,21222.0,1438,0.9,2532,1.5,2005,1.2,2007,1.2,2749,1.7,2015,1.2
05334,Städteregion Aachen,Nordrhein-Westfalen,05,553922,279260,274662,66107,29607,36500,11.9,10.6,13.3,109691.0,76810.0,79119.0,61670.0,85473.0,71268.0,7538,1.4,17137,3.1,11431,2.1,8164,1.5,12000,2.2,9837,1.8
05358,Düren,Nordrhein-Westfalen,05,262828,130522,132306,28648,10514,18134,10.9,8.1,13.7,53842.0,31058.0,30019.0,29881.0,44611.0,38244.0,3547,1.3,4370,1.7,4004,1.5,4757,1.8,6532,2.5,5436,2.1
05362,Rhein-Erft-Kreis,Nordrhein-Westfalen,05,466657,228450,238207,43562,17344,26218,9.3,7.6,11.0,96931.0,50956.0,52347.0,56918.0,80502.0,64168.0,5088,1.1,7693,1.6,6552,1.4,7266,1.6,9600,2.1,7363,1.6
05366,Euskirchen,Nordrhein-Westfalen,05,191165,94759,96406,17865,6620,11245,9.3,7.0,11.7,39492.0,21401.0,20607.0,21465.0,33892.0,28514.0,2383,1.2,2899,1.5,2317,1.2,2715,1.4,4093,2.1,3458,1.8
05370,Heinsberg,Nordrhein-Westfalen,05,252527,124956,127571,26605,9714,16891,10.5,7.8,13.2,50373.0,29126.0,28245.0,29447.0,44082.0,36980.0,3215,1.3,4664,1.8,3537,1.4,4307,1.7,5933,2.3,4949,2.0
05374,Oberbergischer Kreis,Nordrhein-Westfalen,05,273452,134670,138782,28978,11120,17858,10.6,8.3,12.9,56586.0,31931.0,30394.0,30878.0,46546.0,38615.0,3444,1.3,4892,1.8,4236,1.5,4734,1.7,6545,2.4,5127,1.9
05378,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,05,282729,137438,145291,26967,10517,16450,9.5,7.7,11.3,64475.0,29731.0,27536.0,32050.0,51166.0,39478.0,3329,1.2,5227,1.8,3667,1.3,3916,1.4,6164,2.2,4664,1.6
05382,Rhein-Sieg-Kreis,Nordrhein-Westfalen,05,596213,292555,303658,60490,23892,36598,10.1,8.2,12.1,122723.0,66873.0,65443.0,69335.0,104038.0,82486.0,6699,1.1,13617,2.3,9228,1.5,9013,1.5,12393,2.1,9540,1.6
05512,Bottrop,Nordrhein-Westfalen,05,117143,57004,60139,10516,4041,6475,9.0,7.1,10.8,25333.0,12629.0,13448.0,13763.0,19791.0,17642.0,1194,1.0,1630,1.4,1435,1.2,1611,1.4,2479,2.1,2167,1.8
05513,Gelsenkirchen,Nordrhein-Westfalen,05,260368,129267,131101,24122,10160,13962,9.3,7.9,10.6,53508.0,29650.0,32889.0,31662.0,41038.0,36058.0,2603,1.0,4330,1.7,3610,1.4,3697,1.4,5164,2.0,4718,1.8
05515,Münster,Nordrhein-Westfalen,05,310039,148447,161592,40351,16494,23857,13.0,11.1,14.8,51937.0,46934.0,56186.0,37258.0,44454.0,34850.0,3403,1.1,12316,4.0,8584,2.8,4820,1.6,6344,2.0,4884,1.6
05554,Borken,Nordrhein-Westfalen,05,369666,184973,184693,50493,19453,31040,13.7,10.5,16.8,66780.0,46750.0,43560.0,43756.0,64398.0,48749.0,5709,1.5,10578,2.9,6669,1.8,7417,2.0,11446,3.1,8674,2.3
05558,Coesfeld,Nordrhein-Westfalen,05,218401,107953,110448,22962,8481,14481,10.5,7.9,13.1,42715.0,26027.0,22868.0,25198.0,39017.0,31912.0,2820,1.3,4867,2.2,2884,1.3,3223,1.5,5062,2.3,4106,1.9
05562,Recklinghausen,Nordrhein-Westfalen,05,617807,301893,315914,52300,19907,32393,8.5,6.6,10.3,136144.0,66203.0,67544.0,72173.0,104290.0,93210.0,6326,1.0,7581,1.2,6745,1.1,7951,1.3,12113,2.0,11584,1.9
05566,Steinfurt,Nordrhein-Westfalen,05,443374,220782,222592,52402,20884,31518,11.8,9.5,14.2,85030.0,54230.0,49571.0,51922.0,78033.0,59613.0,6323,1.4,11308,2.6,6817,1.5,7295,1.6,11406,2.6,9253,2.1
05570,Warendorf,Nordrhein-Westfalen,05,277431,137265,140166,30115,11588,18527,10.9,8.4,13.2,56316.0,32530.0,30219.0,32535.0,47289.0,38581.0,3697,1.3,5747,2.1,4008,1.4,4636,1.7,6547,2.4,5480,2.0
05711,Bielefeld,Nordrhein-Westfalen,05,333090,161148,171942,37728,15559,22169,11.3,9.7,12.9,66245.0,41074.0,48648.0,40826.0,50120.0,40168.0,3612,1.1,8768,2.6,7477,2.2,5884,1.8,6754,2.0,5233,1.6
05754,Gütersloh,Nordrhein-Westfalen,05,360642,180222,180420,41734,16036,25698,11.6,8.9,14.2,68674.0,43301.0,42922.0,43878.0,61870.0,47362.0,4879,1.4,7830,2.2,6180,1.7,6730,1.9,9187,2.5,6928,1.9
05758,Herford,Nordrhein-Westfalen,05,252122,123935,128187,23056,9271,13785,9.1,7.5,10.8,54642.0,28294.0,28266.0,29306.0,42423.0,34846.0,2712,1.1,5041,2.0,3401,1.3,3609,1.4,4651,1.8,3642,1.4
05762,Höxter,Nordrhein-Westfalen,05,144010,72006,72004,13374,4492,8882,9.3,6.2,12.3,30908.0,17156.0,15431.0,15706.0,24236.0,21065.0,1614,1.1,2559,1.8,1634,1.1,1839,1.3,2965,2.1,2763,1.9
05766,Lippe,Nordrhein-Westfalen,05,350750,172490,178260,29523,11447,18076,8.4,6.6,10.1,76702.0,40977.0,39001.0,38361.0,56806.0,48398.0,3735,1.1,6243,1.8,4072,1.2,4281,1.2,6079,1.7,5113,1.5
05770,Minden-Lübbecke,Nordrhein-Westfalen,05,313050,154488,158562,29852,11160,18692,9.5,7.2,11.8,67144.0,36008.0,35030.0,35209.0,51983.0,43736.0,3727,1.2,5924,1.9,4353,1.4,4507,1.4,6173,2.0,5168,1.7
05774,Paderborn,Nordrhein-Westfalen,05,304332,152549,151783,35559,14024,21535,11.7,9.2,14.2,52365.0,39195.0,42707.0,37171.0,48008.0,40303.0,3651,1.2,7893,2.6,5887,1.9,5167,1.7,6965,2.3,5996,2.0
05911,Bochum,Nordrhein-Westfalen,05,364742,177427,187315,33760,13635,20125,9.3,7.7,10.7,79659.0,42062.0,52486.0,41666.0,56179.0,50113.0,3650,1.0,6954,1.9,6446,1.8,4705,1.3,6456,1.8,5549,1.5
05913,Dortmund,Nordrhein-Westfalen,05,586181,287846,298335,55379,22396,32983,9.4,7.8,11.1,119108.0,68412.0,83394.0,72041.0,91034.0,75651.0,5817,1.0,10683,1.8,10109,1.7,8753,1.5,11114,1.9,8903,1.5
05914,Hagen,Nordrhein-Westfalen,05,189044,92207,96837,18500,7488,11012,9.8,8.1,11.4,42213.0,20884.0,22343.0,21589.0,30696.0,25685.0,2104,1.1,3492,1.8,2827,1.5,2945,1.6,4120,2.2,3012,1.6
05915,Hamm,Nordrhein-Westfalen,05,179397,88166,91231,16995,6965,10030,9.5,7.9,11.0,36443.0,21544.0,21960.0,22181.0,27885.0,23970.0,1953,1.1,3280,1.8,2192,1.2,2688,1.5,3603,2.0,3279,1.8
05916,Herne,Nordrhein-Westfalen,05,155851,75940,79911,10423,4214,6209,6.7,5.5,7.8,34099.0,17444.0,18551.0,18930.0,25384.0,21548.0,1256,0.8,1317,0.8,1474,0.9,1652,1.1,2503,1.6,2221,1.4
05954,Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,05,325954,158312,167642,27065,10127,16938,8.3,6.4,10.1,75603.0,34042.0,35889.0,36139.0,56778.0,47636.0,3750,1.2,4102,1.3,3806,1.2,4051,1.2,6230,1.9,5126,1.6
05958,Hochsauerlandkreis,Nordrhein-Westfalen,05,263762,131764,131998,33384,12366,21018,12.7,9.4,15.9,56459.0,30393.0,29062.0,29798.0,45293.0,37561.0,4372,1.7,5479,2.1,4144,1.6,5342,2.0,7634,2.9,6413,2.4
05962,Märkischer Kreis,Nordrhein-Westfalen,05,416171,204987,211184,42047,15967,26080,10.1,7.8,12.3,89486.0,46713.0,46877.0,46576.0,72108.0,58800.0,5471,1.3,7089,1.7,5803,1.4,6718,1.6,9742,2.3,7224,1.7
05966,Olpe,Nordrhein-Westfalen,05,136365,68624,67741,16355,6057,10298,12.0,8.8,15.2,26364.0,16140.0,15913.0,16085.0,23829.0,18876.0,2058,1.5,2573,1.9,2258,1.7,2638,1.9,3868,2.8,2960,2.2
05970,Siegen-Wittgenstein,Nordrhein-Westfalen,05,280800,139626,141174,32266,12260,20006,11.5,8.8,14.2,58463.0,34764.0,35322.0,31428.0,45046.0,39268.0,3731,1.3,6325,2.3,5134,1.8,4721,1.7,6816,2.4,5539,2.0
05974,Soest,Nordrhein-Westfalen,05,302995,151061,151934,31616,12057,19559,10.4,8.0,12.9,61912.0,35277.0,34294.0,35564.0,51574.0,42453.0,3924,1.3,6522,2.2,4112,1.4,4660,1.5,6711,2.2,5687,1.9
05978,Unna,Nordrhein-Westfalen,05,396035,193438,202597,34776,13718,21058,8.8,7.1,10.4,86906.0,43985.0,42693.0,45800.0,67465.0,58290.0,4191,1.1,5480,1.4,4483,1.1,5487,1.4,8038,2.0,7097,1.8
