ags,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent,bevoelkerung_ueber_65_jahre,bevoelkerung_unter_25_jahre,bevoelkerung_unter_35_jahre,bevoelkerung_unter_45_jahre,bevoelkerung_unter_55_jahre,bevoelkerung_unter_65_jahre,minijobber_ueber_65_jahre,minijobber_ueber_65_jahre_prozent,minijobber_unter_25_jahre,minijobber_unter_25_jahre_prozent,minijobber_unter_35_jahre,minijobber_unter_35_jahre_prozent,minijobber_unter_45_jahre,minijobber_unter_45_jahre_prozent,minijobber_unter_55_jahre,minijobber_unter_55_jahre_prozent,minijobber_unter_65_jahre,minijobber_unter_65_jahre_prozent
15001,Dessau-Roßlau,Sachsen-Anhalt,15,82919,40311,42608,3540,1479,2061,4.3,3.7,4.8,24801.0,5345.0,9264.0,8330.0,13117.0,13323.0,703,0.8,508,0.6,548,0.7,402,0.5,600,0.7,779,0.9
15002,Halle (Saale),Sachsen-Anhalt,15,236991,114581,122410,15051,6642,8409,6.4,5.8,6.9,55880.0,25277.0,37772.0,26629.0,31606.0,30262.0,2308,1.0,2986,1.3,3310,1.4,1583,0.7,2136,0.9,2728,1.2
15003,Magdeburg,Sachsen-Anhalt,15,235723,115810,119913,14380,6387,7993,6.1,5.5,6.7,56206.0,23401.0,37864.0,25860.0,33156.0,31132.0,2241,1.0,2806,1.2,3021,1.3,1603,0.7,2149,0.9,2560,1.1
15081,Altmarkkreis Salzwedel,Sachsen-Anhalt,15,86164,43104,43060,4691,2083,2608,5.4,4.8,6.1,19536.0,6272.0,10045.0,9544.0,15232.0,14668.0,888,1.0,531,0.6,563,0.7,567,0.7,956,1.1,1186,1.4
15082,Anhalt-Bitterfeld,Sachsen-Anhalt,15,164817,80940,83877,6771,2998,3773,4.1,3.7,4.5,43056.0,11241.0,18024.0,18130.0,27637.0,28635.0,1102,0.7,758,0.5,1012,0.6,925,0.6,1244,0.8,1730,1.0
15083,Börde,Sachsen-Anhalt,15,173473,86819,86654,7565,3423,4142,4.4,3.9,4.8,38279.0,12071.0,20090.0,20782.0,30628.0,30023.0,1544,0.9,841,0.5,942,0.5,915,0.5,1402,0.8,1921,1.1
15084,Burgenlandkreis,Sachsen-Anhalt,15,184081,91276,92805,8701,3645,5056,4.7,4.0,5.4,48885.0,12063.0,20493.0,19794.0,30920.0,31317.0,1522,0.8,1138,0.6,1065,0.6,1063,0.6,1637,0.9,2276,1.2
15085,Harz,Sachsen-Anhalt,15,221366,109026,112340,11857,4966,6891,5.4,4.6,6.1,58042.0,16265.0,24059.0,23894.0,36829.0,36953.0,2226,1.0,1790,0.8,1378,0.6,1381,0.6,2123,1.0,2959,1.3
15086,Jerichower Land,Sachsen-Anhalt,15,91693,45870,45823,3967,1785,2182,4.3,3.9,4.8,22157.0,6164.0,9860.0,10368.0,16175.0,16058.0,736,0.8,409,0.4,503,0.5,498,0.5,759,0.8,1062,1.2
15087,Mansfeld-Südharz,Sachsen-Anhalt,15,141408,69831,71577,5643,2265,3378,4.0,3.2,4.7,39086.0,9103.0,14605.0,15028.0,23326.0,24928.0,913,0.6,492,0.3,649,0.5,757,0.5,1164,0.8,1668,1.2
15088,Saalekreis,Sachsen-Anhalt,15,186431,92339,94092,8779,3965,4814,4.7,4.3,5.1,44991.0,12606.0,20509.0,21812.0,32008.0,31918.0,1635,0.9,1007,0.5,1171,0.6,1048,0.6,1545,0.8,2373,1.3
15089,Salzlandkreis,Sachsen-Anhalt,15,196695,96161,100534,8034,3269,4765,4.1,3.4,4.7,51976.0,13489.0,21594.0,21000.0,33385.0,32921.0,1327,0.7,699,0.4,1054,0.5,1057,0.5,1704,0.9,2193,1.1
15090,Stendal,Sachsen-Anhalt,15,115262,57194,58068,5421,2342,3079,4.7,4.1,5.3,27287.0,8784.0,13070.0,12015.0,20319.0,20037.0,932,0.8,570,0.5,656,0.6,625,0.5,1196,1.0,1442,1.3
15091,Wittenberg,Sachsen-Anhalt,15,128447,63427,65020,5606,2163,3443,4.4,3.4,5.3,34440.0,8376.0,13434.0,13577.0,21948.0,22549.0,1092,0.9,594,0.5,631,0.5,638,0.5,1073,0.8,1578,1.2
