ags,name,bundesland_id,bundesland,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,mj_wohnort_insgesamt,mj_wohnort_ausschliesslich,mj_wohnort_nebenjob,mj_arbeitsort_insgesamt,mj_arbeitsort_ausschliesslich,mj_arbeitsort_nebenjob,mj_wohnort_insgesamt_prozent,mj_wohnort_ausschliesslich_prozent,mj_wohnort_nebenjob_prozent,mj_arbeitsort_insgesamt_prozent,mj_arbeitsort_ausschliesslich_prozent,mj_arbeitsort_nebenjob_prozent
14511000,"Chemnitz, Stadt",14,Sachsen,248645,122748,125897,13883,10546,3337,16014,12002,4012,5.6,4.2,1.3,6.4,4.8,1.6
14521010,Amtsberg,14,Sachsen,3779,1866,1913,205,157,48,113,94,19,5.4,4.2,1.3,3.0,2.5,0.5
14521020,"Annaberg-Buchholz, Stadt",14,Sachsen,20426,9776,10650,1129,873,256,1919,1448,471,5.5,4.3,1.3,9.4,7.1,2.3
14521030,"Aue, Stadt",14,Sachsen,16349,7794,8555,856,657,199,1647,1252,395,5.2,4.0,1.2,10.1,7.7,2.4
14521050,Bad Schlema,14,Sachsen,4848,2388,2460,282,219,63,251,201,50,5.8,4.5,1.3,5.2,4.1,1.0
14521110,Breitenbrunn/Erzgeb.,14,Sachsen,5491,2645,2846,307,221,86,195,148,47,5.6,4.0,1.6,3.6,2.7,0.9
14521130,Crottendorf,14,Sachsen,4065,2003,2062,209,149,60,195,139,56,5.1,3.7,1.5,4.8,3.4,1.4
14521150,Drebach,14,Sachsen,5323,2736,2587,263,183,80,232,164,68,4.9,3.4,1.5,4.4,3.1,1.3
14521160,"Ehrenfriedersdorf, Stadt",14,Sachsen,4805,2322,2483,250,191,59,215,168,47,5.2,4.0,1.2,4.5,3.5,1.0
14521170,"Eibenstock, Stadt",14,Sachsen,7640,3791,3849,443,353,90,329,265,64,5.8,4.6,1.2,4.3,3.5,0.8
14521200,Gelenau/Erzgeb.,14,Sachsen,4271,2103,2168,225,173,52,156,120,36,5.3,4.1,1.2,3.7,2.8,0.8
14521240,Großolbersdorf,14,Sachsen,2892,1446,1446,130,87,43,82,54,28,4.5,3.0,1.5,2.8,1.9,1.0
14521250,Großrückerswalde,14,Sachsen,3466,1783,1683,155,112,43,90,69,21,4.5,3.2,1.2,2.6,2.0,0.6
14521260,"Grünhain-Beierfeld, Stadt",14,Sachsen,6021,2998,3023,338,248,90,272,222,50,5.6,4.1,1.5,4.5,3.7,0.8
14521290,Hohndorf,14,Sachsen,3731,1793,1938,204,142,62,103,79,24,5.5,3.8,1.7,2.8,2.1,0.6
14521310,Jahnsdorf/Erzgeb.,14,Sachsen,5530,2766,2764,306,224,82,250,185,65,5.5,4.1,1.5,4.5,3.3,1.2
14521320,"Johanngeorgenstadt, Stadt",14,Sachsen,4135,1990,2145,292,205,87,264,162,102,7.1,5.0,2.1,6.4,3.9,2.5
14521330,"Jöhstadt, Stadt",14,Sachsen,2808,1436,1372,129,99,30,118,71,47,4.6,3.5,1.1,4.2,2.5,1.7
14521355,"Lauter-Bernsbach, Stadt",14,Sachsen,8877,4301,4576,443,329,114,325,249,76,5.0,3.7,1.3,3.7,2.8,0.9
14521370,"Lößnitz, Stadt",14,Sachsen,8677,4235,4442,461,340,121,321,244,77,5.3,3.9,1.4,3.7,2.8,0.9
14521390,"Marienberg, Stadt",14,Sachsen,17409,8676,8733,942,689,253,862,621,241,5.4,4.0,1.5,5.0,3.6,1.4
14521400,Mildenau,14,Sachsen,3396,1693,1703,157,111,46,73,49,24,4.6,3.3,1.4,2.1,1.4,0.7
14521410,Neukirchen/Erzgeb.,14,Sachsen,6805,3361,3444,368,265,103,384,275,109,5.4,3.9,1.5,5.6,4.0,1.6
14521440,"Oberwiesenthal, Kurort, Stadt",14,Sachsen,2194,1067,1127,143,113,30,196,162,34,6.5,5.2,1.4,8.9,7.4,1.5
14521450,"Oelsnitz/Erzgeb., Stadt",14,Sachsen,11117,5355,5762,528,398,130,440,317,123,4.7,3.6,1.2,4.0,2.9,1.1
14521460,"Olbernhau, Stadt",14,Sachsen,9233,4520,4713,596,444,152,521,377,144,6.5,4.8,1.6,5.6,4.1,1.6
14521470,Pfaffroda,14,Sachsen,2471,1246,1225,142,95,47,92,64,28,5.7,3.8,1.9,3.7,2.6,1.1
14521495,"Pockau-Lengefeld, Stadt",14,Sachsen,7853,3900,3953,463,352,111,330,261,69,5.9,4.5,1.4,4.2,3.3,0.9
14521500,Raschau-Markersbach,14,Sachsen,5209,2552,2657,314,238,76,207,166,41,6.0,4.6,1.5,4.0,3.2,0.8
14521530,"Schneeberg, Stadt",14,Sachsen,14732,7246,7486,759,582,177,639,512,127,5.2,4.0,1.2,4.3,3.5,0.9
14521540,Schönheide,14,Sachsen,4568,2242,2326,221,171,50,163,122,41,4.8,3.7,1.1,3.6,2.7,0.9
14521550,"Schwarzenberg/Erzgeb., Stadt",14,Sachsen,17391,8306,9085,957,747,210,955,710,245,5.5,4.3,1.2,5.5,4.1,1.4
14521560,Sehmatal,14,Sachsen,6514,3238,3276,317,237,80,305,228,77,4.9,3.6,1.2,4.7,3.5,1.2
14521600,Stützengrün,14,Sachsen,3341,1655,1686,159,118,41,155,121,34,4.8,3.5,1.2,4.6,3.6,1.0
14521620,"Thalheim/Erzgeb., Stadt",14,Sachsen,6457,3155,3302,388,296,92,285,214,71,6.0,4.6,1.4,4.4,3.3,1.1
14521630,Thermalbad Wiesenbad,14,Sachsen,3366,1671,1695,169,124,45,117,78,39,5.0,3.7,1.3,3.5,2.3,1.2
14521640,"Thum, Stadt",14,Sachsen,5303,2634,2669,283,208,75,174,126,48,5.3,3.9,1.4,3.3,2.4,0.9
14521670,"Wolkenstein, Stadt",14,Sachsen,3905,1918,1987,178,130,48,173,127,46,4.6,3.3,1.2,4.4,3.3,1.2
14521060,Bärenstein,14,Sachsen,2415,1200,1215,135,108,27,105,82,23,5.6,4.5,1.1,4.3,3.4,1.0
14521340,Königswalde,14,Sachsen,2274,1114,1160,129,90,39,71,50,21,5.7,4.0,1.7,3.1,2.2,0.9
14521040,Auerbach,14,Sachsen,2569,1243,1326,127,95,32,80,57,23,4.9,3.7,1.2,3.1,2.2,0.9
14521120,Burkhardtsdorf,14,Sachsen,6210,3086,3124,335,242,93,235,168,67,5.4,3.9,1.5,3.8,2.7,1.1
14521230,Gornsdorf,14,Sachsen,1994,1007,987,89,57,32,91,63,28,4.5,2.9,1.6,4.6,3.2,1.4
14521210,"Geyer, Stadt",14,Sachsen,3582,1741,1841,196,138,58,290,212,78,5.5,3.9,1.6,8.1,5.9,2.2
14521610,Tannenberg,14,Sachsen,1132,561,571,55,42,13,26,22,4,4.9,3.7,1.1,2.3,1.9,0.4
14521380,"Lugau/Erzgeb., Stadt",14,Sachsen,8231,4013,4218,411,311,100,254,186,68,5.0,3.8,1.2,3.1,2.3,0.8
14521430,Niederwürschnitz,14,Sachsen,2643,1295,1348,140,92,48,102,72,30,5.3,3.5,1.8,3.9,2.7,1.1
14521510,"Scheibenberg, Stadt",14,Sachsen,2175,1088,1087,137,107,30,129,98,31,6.3,4.9,1.4,5.9,4.5,1.4
14521520,"Schlettau, Stadt",14,Sachsen,2442,1183,1259,131,103,28,109,85,24,5.4,4.2,1.1,4.5,3.5,1.0
14521140,Deutschneudorf,14,Sachsen,1062,549,513,82,58,24,62,43,19,7.7,5.5,2.3,5.8,4.0,1.8
14521280,Heidersdorf,14,Sachsen,815,423,392,74,52,22,66,39,27,9.1,6.4,2.7,8.1,4.8,3.3
14521570,"Seiffen/Erzgeb., Kurort",14,Sachsen,2305,1163,1142,188,149,39,215,176,39,8.2,6.5,1.7,9.3,7.6,1.7
14521420,Niederdorf,14,Sachsen,1265,640,625,67,51,16,80,59,21,5.3,4.0,1.3,6.3,4.7,1.7
14521590,"Stollberg/Erzgeb., Stadt",14,Sachsen,11380,5505,5875,539,377,162,657,444,213,4.7,3.3,1.4,5.8,3.9,1.9
14521220,Gornau/Erzgeb.,14,Sachsen,3835,1880,1955,180,127,53,163,117,46,4.7,3.3,1.4,4.3,3.1,1.2
14521690,"Zschopau, Stadt",14,Sachsen,9538,4666,4872,526,397,129,553,397,156,5.5,4.2,1.4,5.8,4.2,1.6
14521080,Bockau,14,Sachsen,2322,1140,1182,141,109,32,63,54,9,6.1,4.7,1.4,2.7,2.3,0.4
14521700,Zschorlau,14,Sachsen,5390,2623,2767,283,219,64,148,120,28,5.3,4.1,1.2,2.7,2.2,0.5
14521180,"Elterlein, Stadt",14,Sachsen,2923,1461,1462,168,123,45,123,94,29,5.7,4.2,1.5,4.2,3.2,1.0
14521710,"Zwönitz, Stadt",14,Sachsen,12262,5947,6315,682,501,181,504,381,123,5.6,4.1,1.5,4.1,3.1,1.0
14521090,Börnichen/Erzgeb.,14,Sachsen,984,488,496,62,46,16,43,30,13,6.3,4.7,1.6,4.4,3.0,1.3
14521270,Grünhainichen,14,Sachsen,3519,1741,1778,187,130,57,122,90,32,5.3,3.7,1.6,3.5,2.6,0.9
14522020,"Augustusburg, Stadt",14,Sachsen,4581,2276,2305,258,192,66,181,128,53,5.6,4.2,1.4,4.0,2.8,1.2
14522035,Bobritzsch-Hilbersdorf,14,Sachsen,5801,2888,2913,293,187,106,202,130,72,5.1,3.2,1.8,3.5,2.2,1.2
14522050,"Brand-Erbisdorf, Stadt",14,Sachsen,9785,4783,5002,556,406,150,876,688,188,5.7,4.1,1.5,9.0,7.0,1.9
14522070,Claußnitz,14,Sachsen,3142,1550,1592,147,106,41,84,61,23,4.7,3.4,1.3,2.7,1.9,0.7
14522080,"Döbeln, Stadt",14,Sachsen,21730,10577,11153,1140,841,299,1323,949,374,5.2,3.9,1.4,6.1,4.4,1.7
14522110,Eppendorf,14,Sachsen,4231,2047,2184,248,178,70,164,118,46,5.9,4.2,1.7,3.9,2.8,1.1
14522120,Erlau,14,Sachsen,3256,1659,1597,180,123,57,82,56,26,5.5,3.8,1.8,2.5,1.7,0.8
14522140,"Flöha, Stadt",14,Sachsen,10967,5311,5656,583,456,127,374,291,83,5.3,4.2,1.2,3.4,2.7,0.8
14522150,"Frankenberg/Sa., Stadt",14,Sachsen,14462,7170,7292,682,472,210,463,326,137,4.7,3.3,1.5,3.2,2.3,0.9
14522170,"Frauenstein, Stadt",14,Sachsen,2936,1489,1447,175,122,53,146,98,48,6.0,4.2,1.8,5.0,3.3,1.6
