ags,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent,bevoelkerung_ueber_65_jahre,bevoelkerung_unter_25_jahre,bevoelkerung_unter_35_jahre,bevoelkerung_unter_45_jahre,bevoelkerung_unter_55_jahre,bevoelkerung_unter_65_jahre,minijobber_ueber_65_jahre,minijobber_ueber_65_jahre_prozent,minijobber_unter_25_jahre,minijobber_unter_25_jahre_prozent,minijobber_unter_35_jahre,minijobber_unter_35_jahre_prozent,minijobber_unter_45_jahre,minijobber_unter_45_jahre_prozent,minijobber_unter_55_jahre,minijobber_unter_55_jahre_prozent,minijobber_unter_65_jahre,minijobber_unter_65_jahre_prozent
14511,Chemnitz,Sachsen,14,248645,122748,125897,17803,8086,9717,7.2,6.6,7.7,66371.0,21058.0,36855.0,27132.0,33161.0,34126.0,3270,1.3,3317,1.3,3204,1.3,2002,0.8,2488,1.0,3522,1.4
14521,Erzgebirgskreis,Sachsen,14,347665,170364,177301,18262,7716,10546,5.3,4.5,5.9,93269.0,22898.0,36566.0,39477.0,51766.0,60558.0,4366,1.3,1897,0.5,1868,0.5,2046,0.6,2892,0.8,5193,1.5
14522,Mittelsachsen,Sachsen,14,312450,155084,157366,16239,7114,9125,5.2,4.6,5.8,82868.0,21657.0,35022.0,34715.0,49249.0,50699.0,3500,1.1,2131,0.7,2054,0.7,1634,0.5,2654,0.8,4266,1.4
14523,Vogtlandkreis,Sachsen,14,232318,113174,119144,12293,5107,7186,5.3,4.5,6.0,65730.0,15290.0,24481.0,25209.0,36488.0,38562.0,2642,1.1,1606,0.7,1445,0.6,1325,0.6,2089,0.9,3186,1.4
14524,Zwickau,Sachsen,14,324534,158067,166467,18758,7770,10988,5.8,4.9,6.6,89903.0,22272.0,35516.0,35260.0,51151.0,52129.0,3862,1.2,2471,0.8,2528,0.8,2086,0.6,3089,1.0,4722,1.5
14612,Dresden,Sachsen,14,543825,270410,273415,37398,17413,19985,6.9,6.4,7.3,117325.0,54950.0,98946.0,68630.0,69177.0,59795.0,5323,1.0,9001,1.7,8505,1.6,4263,0.8,4657,0.9,5649,1.0
14625,Bautzen,Sachsen,14,306273,151349,154924,16414,6852,9562,5.4,4.5,6.2,79256.0,19570.0,32706.0,35026.0,49695.0,50507.0,3184,1.0,2074,0.7,1913,0.6,1986,0.6,2805,0.9,4452,1.5
14626,Görlitz,Sachsen,14,260000,127325,132675,12516,5220,7296,4.8,4.1,5.5,72686.0,17542.0,26470.0,27301.0,41118.0,43536.0,2224,0.9,1237,0.5,1582,0.6,1628,0.6,2391,0.9,3454,1.3
14627,Meißen,Sachsen,14,245244,121132,124112,11679,5038,6641,4.8,4.2,5.4,63510.0,15991.0,26381.0,28683.0,39777.0,38881.0,2442,1.0,1414,0.6,1481,0.6,1335,0.5,2024,0.8,2983,1.2
14628,Sächs. Schweiz-Osterzgebirge,Sachsen,14,247412,122565,124847,11832,5376,6456,4.8,4.4,5.2,64428.0,16494.0,27065.0,29175.0,39227.0,38041.0,2692,1.1,1410,0.6,1610,0.7,1448,0.6,1922,0.8,2750,1.1
14713,Leipzig,Sachsen,14,560472,274414,286058,38096,16708,21388,6.8,6.1,7.5,116927.0,53942.0,108757.0,72024.0,72665.0,62185.0,5236,0.9,8035,1.4,8874,1.6,4500,0.8,5123,0.9,6328,1.1
14729,Leipzig,Sachsen,14,258408,126877,131531,12168,5175,6993,4.7,4.1,5.3,64944.0,16659.0,26832.0,30268.0,44429.0,42470.0,2387,0.9,1430,0.6,1557,0.6,1490,0.6,2245,0.9,3059,1.2
14730,Nordsachsen,Sachsen,14,197605,98052,99553,9906,4574,5332,5.0,4.7,5.4,48147.0,12838.0,21908.0,22919.0,33867.0,33519.0,1843,0.9,1221,0.6,1322,0.7,1253,0.6,1719,0.9,2548,1.3
