ags,name,bundesland_id,bundesland,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,mj_wohnort_insgesamt,mj_wohnort_ausschliesslich,mj_wohnort_nebenjob,mj_arbeitsort_insgesamt,mj_arbeitsort_ausschliesslich,mj_arbeitsort_nebenjob,mj_wohnort_insgesamt_prozent,mj_wohnort_ausschliesslich_prozent,mj_wohnort_nebenjob_prozent,mj_arbeitsort_insgesamt_prozent,mj_arbeitsort_ausschliesslich_prozent,mj_arbeitsort_nebenjob_prozent
01001000,"Flensburg, Stadt",01,Schleswig-Holstein,85942,42767,43175,9493,7053,2440,10262,7387,2875,11.0,8.2,2.8,11.9,8.6,3.3
01002000,"Kiel, Landeshauptstadt",01,Schleswig-Holstein,246306,119835,126471,26006,18819,7187,28103,20353,7750,10.6,7.6,2.9,11.4,8.3,3.1
01003000,"Lübeck, Hansestadt",01,Schleswig-Holstein,216253,103683,112570,17622,12608,5014,19203,13450,5753,8.1,5.8,2.3,8.9,6.2,2.7
01004000,"Neumünster, Stadt",01,Schleswig-Holstein,79197,39118,40079,7305,5151,2154,8084,5759,2325,9.2,6.5,2.7,10.2,7.3,2.9
01051011,"Brunsbüttel, Stadt",01,Schleswig-Holstein,12740,6430,6310,1195,862,333,1112,827,285,9.4,6.8,2.6,8.7,6.5,2.2
01051044,"Heide, Stadt",01,Schleswig-Holstein,21422,10125,11297,2050,1515,535,3138,2383,755,9.6,7.1,2.5,14.6,11.1,3.5
01051003,Averlak,01,Schleswig-Holstein,584,303,281,75,53,22,101,41,60,12.8,9.1,3.8,17.3,7.0,10.3
01051010,Brickeln,01,Schleswig-Holstein,204,103,101,34,23,11,-1,-1,-1,16.7,11.3,5.4,-0.5,,
01051012,Buchholz,01,Schleswig-Holstein,997,503,494,109,79,30,62,41,21,10.9,7.9,3.0,6.2,4.1,2.1
01051016,Burg (Dithmarschen),01,Schleswig-Holstein,4147,2030,2117,338,258,80,292,231,61,8.2,6.2,1.9,7.0,5.6,1.5
01051022,Dingen,01,Schleswig-Holstein,615,312,303,57,45,12,27,19,8,9.3,7.3,2.0,4.4,3.1,1.3
01051024,Eddelak,01,Schleswig-Holstein,1360,663,697,140,93,47,65,42,23,10.3,6.8,3.5,4.8,3.1,1.7
01051026,Eggstedt,01,Schleswig-Holstein,753,380,373,72,59,13,20,11,9,9.6,7.8,1.7,2.7,1.5,1.2
01051032,Frestedt,01,Schleswig-Holstein,363,185,178,39,20,19,25,15,10,10.7,5.5,5.2,6.9,4.1,2.8
01051037,Großenrade,01,Schleswig-Holstein,483,240,243,48,29,19,11,7,4,9.9,6.0,3.9,2.3,1.4,0.8
01051051,Hochdonn,01,Schleswig-Holstein,1147,564,583,118,88,30,37,26,11,10.3,7.7,2.6,3.2,2.3,1.0
01051064,Kuden,01,Schleswig-Holstein,631,328,303,60,46,14,13,8,5,9.5,7.3,2.2,2.1,1.3,0.8
01051089,Quickborn,01,Schleswig-Holstein,184,90,94,18,13,5,-1,-1,-1,9.8,7.1,2.7,-0.5,,
01051097,Sankt Michaelisdonn,01,Schleswig-Holstein,3432,1696,1736,381,276,105,311,212,99,11.1,8.0,3.1,9.1,6.2,2.9
01051110,Süderhastedt,01,Schleswig-Holstein,829,404,425,83,59,24,68,53,15,10.0,7.1,2.9,8.2,6.4,1.8
01051021,Diekhusen-Fahrstedt,01,Schleswig-Holstein,741,375,366,85,60,25,23,11,12,11.5,8.1,3.4,3.1,1.5,1.6
01051034,Friedrichskoog,01,Schleswig-Holstein,2565,1298,1267,280,194,86,305,213,92,10.9,7.6,3.4,11.9,8.3,3.6
01051046,Helse,01,Schleswig-Holstein,868,440,428,109,78,31,29,21,8,12.6,9.0,3.6,3.3,2.4,0.9
01051057,Kaiser-Wilhelm-Koog,01,Schleswig-Holstein,338,176,162,41,32,9,11,-1,-1,12.1,9.5,2.7,3.3,,
01051062,Kronprinzenkoog,01,Schleswig-Holstein,814,414,400,89,63,26,60,34,26,10.9,7.7,3.2,7.4,4.2,3.2
01051072,"Marne, Stadt",01,Schleswig-Holstein,5690,2696,2994,617,459,158,821,597,224,10.8,8.1,2.8,14.4,10.5,3.9
01051073,Marnerdeich,01,Schleswig-Holstein,386,207,179,56,37,19,23,16,7,14.5,9.6,4.9,6.0,4.1,1.8
01051076,Neufeld,01,Schleswig-Holstein,602,307,295,56,37,19,28,16,12,9.3,6.1,3.2,4.7,2.7,2.0
01051077,Neufelderkoog,01,Schleswig-Holstein,121,64,57,8,-1,-1,4,4,n/a,6.6,,,3.3,3.3,
01051090,Ramhusen,01,Schleswig-Holstein,156,79,77,10,10,n/a,-1,-1,-1,6.4,6.4,,-0.6,,
01051103,Schmedeswurth,01,Schleswig-Holstein,190,100,90,15,8,7,-1,-1,-1,7.9,4.2,3.7,-0.5,,
01051118,Trennewurth,01,Schleswig-Holstein,250,139,111,35,26,9,-1,-1,-1,14.0,10.4,3.6,-0.4,,
01051119,Volsemenhusen,01,Schleswig-Holstein,348,187,161,31,22,9,-1,-1,-1,8.9,6.3,2.6,-0.3,,
01051005,Barkenholm,01,Schleswig-Holstein,168,90,78,21,11,10,-1,-1,-1,12.5,6.5,6.0,-0.6,,
01051008,Bergewöhrden,01,Schleswig-Holstein,35,15,20,5,-1,-1,n/a,n/a,n/a,14.3,,,,,
01051019,Dellstedt,01,Schleswig-Holstein,746,392,354,74,51,23,42,30,12,9.9,6.8,3.1,5.6,4.0,1.6
01051020,Delve,01,Schleswig-Holstein,685,344,341,62,44,18,36,26,10,9.1,6.4,2.6,5.3,3.8,1.5
01051023,Dörpling,01,Schleswig-Holstein,609,311,298,60,43,17,19,12,7,9.9,7.1,2.8,3.1,2.0,1.1
01051030,Fedderingen,01,Schleswig-Holstein,275,135,140,26,16,10,-1,-1,-1,9.5,5.8,3.6,-0.4,,
01051035,Gaushorn,01,Schleswig-Holstein,179,86,93,23,14,9,-1,-1,-1,12.8,7.8,5.0,-0.6,,
01051036,Glüsing,01,Schleswig-Holstein,116,60,56,7,7,n/a,-1,-1,-1,6.0,6.0,,-0.9,,
01051038,Groven,01,Schleswig-Holstein,87,53,34,5,5,n/a,8,-1,-1,5.7,5.7,,9.2,,
01051047,Hemme,01,Schleswig-Holstein,514,277,237,50,38,12,43,34,9,9.7,7.4,2.3,8.4,6.6,1.8
01051049,Hennstedt,01,Schleswig-Holstein,1949,977,972,172,126,46,172,122,50,8.8,6.5,2.4,8.8,6.3,2.6
01051052,Hövede,01,Schleswig-Holstein,60,29,31,6,3,3,4,4,n/a,10.0,5.0,5.0,6.7,6.7,
01051053,Hollingstedt,01,Schleswig-Holstein,303,149,154,36,28,8,16,11,5,11.9,9.2,2.6,5.3,3.6,1.7
01051058,Karolinenkoog,01,Schleswig-Holstein,146,81,65,11,-1,-1,13,9,4,7.5,,,8.9,6.2,2.7
01051060,Kleve,01,Schleswig-Holstein,427,216,211,47,35,12,-1,-1,-1,11.0,8.2,2.8,-0.2,,
01051061,Krempel,01,Schleswig-Holstein,597,301,296,58,42,16,20,14,6,9.7,7.0,2.7,3.4,2.3,1.0
