ags,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent
01001,Flensburg,Schleswig-Holstein,01,85942,42767,43175,10981,4610,6371,12.8,10.8,14.8
01002,Kiel,Schleswig-Holstein,01,246306,119835,126471,29251,12632,16619,11.9,10.5,13.1
01003,Lübeck,Schleswig-Holstein,01,216253,103683,112570,20172,8351,11821,9.3,8.1,10.5
01004,Neumünster,Schleswig-Holstein,01,79197,39118,40079,8539,3636,4903,10.8,9.3,12.2
01051,Dithmarschen,Schleswig-Holstein,01,132917,65512,67405,12805,4746,8059,9.6,7.2,12.0
01053,Herzogtum Lauenburg,Schleswig-Holstein,01,192999,94684,98315,14748,5574,9174,7.6,5.9,9.3
01054,Nordfriesland,Schleswig-Holstein,01,163960,80319,83641,18018,6850,11168,11.0,8.5,13.4
01055,Ostholstein,Schleswig-Holstein,01,199574,96412,103162,20924,8209,12715,10.5,8.5,12.3
01056,Pinneberg,Schleswig-Holstein,01,307471,150455,157016,27145,10952,16193,8.8,7.3,10.3
01057,Plön,Schleswig-Holstein,01,128304,62349,65955,11292,4261,7031,8.8,6.8,10.7
01058,Rendsburg-Eckernförde,Schleswig-Holstein,01,270378,133002,137376,24240,9433,14807,9.0,7.1,10.8
01059,Schleswig-Flensburg,Schleswig-Holstein,01,196839,97496,99343,17961,7222,10739,9.1,7.4,10.8
01060,Segeberg,Schleswig-Holstein,01,267503,131777,135726,25674,10405,15269,9.6,7.9,11.2
01061,Steinburg,Schleswig-Holstein,01,131457,65047,66410,11418,4179,7239,8.7,6.4,10.9
01062,Stormarn,Schleswig-Holstein,01,239614,117002,122612,22015,8886,13129,9.2,7.6,10.7
