ags,name,bundesland_id,bundesland,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,mj_wohnort_insgesamt,mj_wohnort_ausschliesslich,mj_wohnort_nebenjob,mj_arbeitsort_insgesamt,mj_arbeitsort_ausschliesslich,mj_arbeitsort_nebenjob,mj_wohnort_insgesamt_prozent,mj_wohnort_ausschliesslich_prozent,mj_wohnort_nebenjob_prozent,mj_arbeitsort_insgesamt_prozent,mj_arbeitsort_ausschliesslich_prozent,mj_arbeitsort_nebenjob_prozent
16051000,"Erfurt, Stadt",16,Thüringen,210118,102259,107859,11370,8147,3223,16921,12330,4591,5.4,3.9,1.5,8.1,5.9,2.2
16052000,"Gera, Stadt",16,Thüringen,96011,46414,49597,4676,3411,1265,4203,2988,1215,4.9,3.6,1.3,4.4,3.1,1.3
16053000,"Jena, Stadt",16,Thüringen,109527,54467,55060,7115,5590,1525,8305,6458,1847,6.5,5.1,1.4,7.6,5.9,1.7
16054000,"Suhl, Stadt",16,Thüringen,36778,18071,18707,2195,1554,641,3268,2266,1002,6.0,4.2,1.7,8.9,6.2,2.7
16055000,"Weimar, Stadt",16,Thüringen,64131,31002,33129,3890,2956,934,3987,2996,991,6.1,4.6,1.5,6.2,4.7,1.5
16056000,"Eisenach, Stadt",16,Thüringen,42417,20810,21607,2415,1670,745,2727,1921,806,5.7,3.9,1.8,6.4,4.5,1.9
16061045,"Heilbad Heiligenstadt, Stadt",16,Thüringen,16772,8312,8460,903,603,300,1172,818,354,5.4,3.6,1.8,7.0,4.9,2.1
16061115,"Leinefelde-Worbis, Stadt",16,Thüringen,18684,9296,9388,1225,893,332,1689,1158,531,6.6,4.8,1.8,9.0,6.2,2.8
16061116,Am Ohmberg,16,Thüringen,3803,1932,1871,230,152,78,173,110,63,6.0,4.0,2.1,4.5,2.9,1.7
16061117,Sonnenstein,16,Thüringen,4622,2337,2285,270,187,83,120,81,39,5.8,4.0,1.8,2.6,1.8,0.8
16061003,Berlingerode,16,Thüringen,1209,598,611,114,73,41,42,24,18,9.4,6.0,3.4,3.5,2.0,1.5
16061015,Brehme,16,Thüringen,1119,568,551,69,43,26,24,16,8,6.2,3.8,2.3,2.1,1.4,0.7
16061026,Ecklingerode,16,Thüringen,727,364,363,44,21,23,15,7,8,6.1,2.9,3.2,2.1,1.0,1.1
16061031,Ferna,16,Thüringen,580,295,285,42,28,14,17,10,7,7.2,4.8,2.4,2.9,1.7,1.2
