ags,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent,bevoelkerung_ueber_65_jahre,bevoelkerung_unter_25_jahre,bevoelkerung_unter_35_jahre,bevoelkerung_unter_45_jahre,bevoelkerung_unter_55_jahre,bevoelkerung_unter_65_jahre,minijobber_ueber_65_jahre,minijobber_ueber_65_jahre_prozent,minijobber_unter_25_jahre,minijobber_unter_25_jahre_prozent,minijobber_unter_35_jahre,minijobber_unter_35_jahre_prozent,minijobber_unter_45_jahre,minijobber_unter_45_jahre_prozent,minijobber_unter_55_jahre,minijobber_unter_55_jahre_prozent,minijobber_unter_65_jahre,minijobber_unter_65_jahre_prozent
16051,Erfurt,Thüringen,16,210118,102259,107859,17042,7455,9587,8.1,7.3,8.9,45160.0,19836.0,33573.0,25450.0,30331.0,28762.0,2890,1.4,3175,1.5,3060,1.5,1894,0.9,2444,1.2,3579,1.7
16052,Gera,Thüringen,16,96011,46414,49597,4385,1771,2614,4.6,3.8,5.3,26114.0,6685.0,11695.0,9882.0,14536.0,16074.0,824,0.9,513,0.5,654,0.7,572,0.6,757,0.8,1065,1.1
16053,Jena,Thüringen,16,109527,54467,55060,8648,3911,4737,7.9,7.2,8.6,22566.0,12476.0,22129.0,12823.0,13053.0,12313.0,833,0.8,2686,2.5,2529,2.3,799,0.7,806,0.7,995,0.9
16054,Suhl,Thüringen,16,36778,18071,18707,3344,1505,1839,9.1,8.3,9.8,10701.0,2773.0,3775.0,3607.0,5692.0,6371.0,798,2.2,392,1.1,340,0.9,359,1.0,591,1.6,864,2.3
16055,Weimar,Thüringen,16,64131,31002,33129,4380,1862,2518,6.8,6.0,7.6,14142.0,6294.0,10014.0,7700.0,9028.0,8273.0,571,0.9,927,1.4,1012,1.6,502,0.8,602,0.9,766,1.2
16056,Eisenach,Thüringen,16,42417,20810,21607,2819,1210,1609,6.6,5.8,7.4,10741.0,3129.0,5713.0,5023.0,6528.0,6083.0,546,1.3,413,1.0,376,0.9,356,0.8,462,1.1,666,1.6
16061,Eichsfeld,Thüringen,16,101325,50927,50398,5869,2631,3238,5.8,5.2,6.4,22319.0,7723.0,12900.0,12344.0,15948.0,15992.0,1012,1.0,897,0.9,812,0.8,696,0.7,1056,1.0,1396,1.4
16062,Nordhausen,Thüringen,16,85355,42292,43063,4076,1709,2367,4.8,4.0,5.5,21414.0,6904.0,10165.0,9262.0,13703.0,13628.0,688,0.8,649,0.8,563,0.7,500,0.6,716,0.8,960,1.1
16063,Wartburgkreis,Thüringen,16,125655,62914,62741,6411,2524,3887,5.1,4.0,6.2,29764.0,8605.0,14548.0,14863.0,20899.0,21465.0,1279,1.0,659,0.5,726,0.6,795,0.6,1194,1.0,1758,1.4
16064,Unstrut-Hainich-Kreis,Thüringen,16,105273,52367,52906,5566,2409,3157,5.3,4.6,6.0,24517.0,8204.0,12126.0,12162.0,17034.0,17364.0,967,0.9,788,0.7,653,0.6,677,0.6,988,0.9,1493,1.4
16065,Kyffhäuserkreis,Thüringen,16,77110,38432,38678,3128,1242,1886,4.1,3.2,4.9,19595.0,5260.0,8459.0,8481.0,12661.0,13774.0,531,0.7,322,0.4,351,0.5,392,0.5,635,0.8,897,1.2
16066,Schmalkalden-Meiningen,Thüringen,16,124623,62268,62355,8121,3667,4454,6.5,5.9,7.1,30839.0,8828.0,14864.0,13955.0,20552.0,21255.0,1737,1.4,1132,0.9,971,0.8,1001,0.8,1336,1.1,1944,1.6
16067,Gotha,Thüringen,16,136831,68341,68490,7105,3169,3936,5.2,4.6,5.7,32468.0,10265.0,16441.0,15917.0,22515.0,22093.0,1397,1.0,947,0.7,904,0.7,877,0.6,1211,0.9,1769,1.3
16068,Sömmerda,Thüringen,16,70600,35274,35326,3346,1467,1879,4.7,4.2,5.3,15823.0,4722.0,8006.0,8655.0,11902.0,12467.0,523,0.7,439,0.6,485,0.7,471,0.7,647,0.9,781,1.1
16069,Hildburghausen,Thüringen,16,64524,32271,32253,2906,1233,1673,4.5,3.8,5.2,14969.0,4373.0,7900.0,7656.0,10733.0,11215.0,643,1.0,299,0.5,338,0.5,364,0.6,507,0.8,755,1.2
16070,Ilm-Kreis,Thüringen,16,109620,55077,54543,5708,2588,3120,5.2,4.7,5.7,26796.0,8679.0,14163.0,12130.0,17415.0,17425.0,1076,1.0,850,0.8,924,0.8,613,0.6,937,0.9,1308,1.2
16071,Weimarer Land,Thüringen,16,82127,40784,41343,4107,1929,2178,5.0,4.7,5.3,18161.0,5760.0,9110.0,10122.0,13944.0,14069.0,718,0.9,749,0.9,563,0.7,450,0.5,690,0.8,937,1.1
