rs,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent
03101,Braunschweig,Niedersachsen,03,251364,125001,126363,24828,10137,14691,9.9,8.1,11.6
03102,Salzgitter,Niedersachsen,03,101079,49898,51181,6661,2518,4143,6.6,5.0,8.1
03103,Wolfsburg,Niedersachsen,03,124045,61581,62464,11516,4715,6801,9.3,7.7,10.9
03151,Gifhorn,Niedersachsen,03,174205,87129,87076,11314,4032,7282,6.5,4.6,8.4
03152,Göttingen,Niedersachsen,03,255653,126142,129511,25380,10418,14962,9.9,8.3,11.6
03153,Goslar,Niedersachsen,03,138236,68245,69991,11602,4810,6792,8.4,7.0,9.7
03154,Helmstedt,Niedersachsen,03,91500,45354,46146,5221,1730,3491,5.7,3.8,7.6
03155,Northeim,Niedersachsen,03,134896,66394,68502,11225,4272,6953,8.3,6.4,10.2
03156,Osterode am Harz,Niedersachsen,03,73885,36192,37693,5644,2014,3630,7.6,5.6,9.6
03157,Peine,Niedersachsen,03,132320,65493,66827,10309,4123,6186,7.8,6.3,9.3
03158,Wolfenbüttel,Niedersachsen,03,120981,59846,61135,7861,2935,4926,6.5,4.9,8.1
03241,Region Hannover,Niedersachsen,03,1144481,559775,584706,112321,46588,65733,9.8,8.3,11.2
03251,Diepholz,Niedersachsen,03,213976,106475,107501,25928,10497,15431,12.1,9.9,14.4
03252,Hameln-Pyrmont,Niedersachsen,03,148281,71606,76675,12836,5069,7767,8.7,7.1,10.1
03254,Hildesheim,Niedersachsen,03,277055,135007,142048,24623,9964,14659,8.9,7.4,10.3
03255,Holzminden,Niedersachsen,03,71659,35481,36178,5847,1954,3893,8.2,5.5,10.8
03256,Nienburg (Weser),Niedersachsen,03,120632,59947,60685,11819,4695,7124,9.8,7.8,11.7
03257,Schaumburg,Niedersachsen,03,156206,76229,79977,12854,4694,8160,8.2,6.2,10.2
03351,Celle,Niedersachsen,03,177971,87543,90428,15180,5795,9385,8.5,6.6,10.4
03352,Cuxhaven,Niedersachsen,03,198103,97064,101039,18113,6882,11231,9.1,7.1,11.1
03353,Harburg,Niedersachsen,03,248122,122089,126033,22131,8336,13795,8.9,6.8,10.9
03354,Lüchow-Dannenberg,Niedersachsen,03,50128,24991,25137,3785,1391,2394,7.6,5.6,9.5
03355,Lüneburg,Niedersachsen,03,180719,88448,92271,15427,5864,9563,8.5,6.6,10.4
03356,Osterholz,Niedersachsen,03,113579,56098,57481,9704,3689,6015,8.5,6.6,10.5
03357,Rotenburg (Wümme),Niedersachsen,03,163253,82229,81024,17705,6873,10832,10.8,8.4,13.4
03358,Heidekreis,Niedersachsen,03,140264,70371,69893,14409,5730,8679,10.3,8.1,12.4
03359,Stade,Niedersachsen,03,200054,99894,100160,20455,7996,12459,10.2,8.0,12.4
03360,Uelzen,Niedersachsen,03,93131,45631,47500,7667,2924,4743,8.2,6.4,10.0
03361,Verden,Niedersachsen,03,134645,66140,68505,12814,4876,7938,9.5,7.4,11.6
03401,Delmenhorst,Niedersachsen,03,76323,37823,38500,9827,3098,6729,12.9,8.2,17.5
03402,Emden,Niedersachsen,03,50694,25249,25445,7247,2759,4488,14.3,10.9,17.6
03403,Oldenburg (Oldenburg),Niedersachsen,03,163830,78259,85571,20825,8037,12788,12.7,10.3,14.9
03404,Osnabrück,Niedersachsen,03,162403,78275,84128,26873,10434,16439,16.5,13.3,19.5
03405,Wilhelmshaven,Niedersachsen,03,75995,37244,38751,7706,3305,4401,10.1,8.9,11.4
03451,Ammerland,Niedersachsen,03,121435,59587,61848,12028,4655,7373,9.9,7.8,11.9
03452,Aurich,Niedersachsen,03,189199,93212,95987,17643,5550,12093,9.3,6.0,12.6
03453,Cloppenburg,Niedersachsen,03,164734,83274,81460,20934,8384,12550,12.7,10.1,15.4
03454,Emsland,Niedersachsen,03,319488,162482,157006,39398,14789,24609,12.3,9.1,15.7
03455,Friesland,Niedersachsen,03,97900,47771,50129,8826,3249,5577,9.0,6.8,11.1
03456,Grafschaft Bentheim,Niedersachsen,03,135662,67780,67882,18806,7310,11496,13.9,10.8,16.9
03457,Leer,Niedersachsen,03,167548,83431,84117,17897,5908,11989,10.7,7.1,14.3
03458,Oldenburg,Niedersachsen,03,128608,63988,64620,11901,4477,7424,9.3,7.0,11.5
03459,Osnabrück,Niedersachsen,03,358079,178475,179604,39744,15022,24722,11.1,8.4,13.8
03460,Vechta,Niedersachsen,03,137866,69535,68331,23916,9259,14657,17.3,13.3,21.5
03461,Wesermarsch,Niedersachsen,03,89239,44649,44590,7592,2795,4797,8.5,6.3,10.8
03462,Wittmund,Niedersachsen,03,57173,28071,29102,5678,2010,3668,9.9,7.2,12.6
