ags,name,bundesland_id,bundesland,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,mj_wohnort_insgesamt,mj_wohnort_ausschliesslich,mj_wohnort_nebenjob,mj_arbeitsort_insgesamt,mj_arbeitsort_ausschliesslich,mj_arbeitsort_nebenjob,mj_wohnort_insgesamt_prozent,mj_wohnort_ausschliesslich_prozent,mj_wohnort_nebenjob_prozent,mj_arbeitsort_insgesamt_prozent,mj_arbeitsort_ausschliesslich_prozent,mj_arbeitsort_nebenjob_prozent
05111000,"Düsseldorf, Stadt",05,Nordrhein-Westfalen,612178,295896,316282,54669,35525,19144,72031,47574,24457,8.9,5.8,3.1,11.8,7.8,4.0
05112000,"Duisburg, Stadt",05,Nordrhein-Westfalen,491231,241417,249814,41813,31151,10662,36694,27259,9435,8.5,6.3,2.2,7.5,5.5,1.9
05113000,"Essen, Stadt",05,Nordrhein-Westfalen,582624,282565,300059,50674,37211,13463,60185,44104,16081,8.7,6.4,2.3,10.3,7.6,2.8
05114000,"Krefeld, Stadt",05,Nordrhein-Westfalen,225144,109487,115657,21928,15373,6555,20602,14291,6311,9.7,6.8,2.9,9.2,6.3,2.8
05116000,"Mönchengladbach, Stadt",05,Nordrhein-Westfalen,259996,127512,132484,26669,18472,8197,28082,19638,8444,10.3,7.1,3.2,10.8,7.6,3.2
05117000,"Mülheim an der Ruhr, Stadt",05,Nordrhein-Westfalen,169278,81461,87817,14694,10465,4229,15589,11307,4282,8.7,6.2,2.5,9.2,6.7,2.5
05119000,"Oberhausen, Stadt",05,Nordrhein-Westfalen,210934,103284,107650,18889,14196,4693,20051,15028,5023,9.0,6.7,2.2,9.5,7.1,2.4
05120000,"Remscheid, Stadt",05,Nordrhein-Westfalen,109499,53725,55774,11448,7570,3878,11750,7852,3898,10.5,6.9,3.5,10.7,7.2,3.6
05122000,"Solingen, Klingenstadt",05,Nordrhein-Westfalen,158726,76948,81778,15546,10121,5425,13891,9044,4847,9.8,6.4,3.4,8.8,5.7,3.1
05124000,"Wuppertal, Stadt",05,Nordrhein-Westfalen,350046,170822,179224,33360,23110,10250,32897,22974,9923,9.5,6.6,2.9,9.4,6.6,2.8
05154004,Bedburg-Hau,05,Nordrhein-Westfalen,13033,6701,6332,1292,870,422,1001,700,301,9.9,6.7,3.2,7.7,5.4,2.3
05154008,"Emmerich am Rhein, Stadt",05,Nordrhein-Westfalen,30968,15705,15263,3011,2250,761,2999,2271,728,9.7,7.3,2.5,9.7,7.3,2.4
05154012,"Geldern, Stadt",05,Nordrhein-Westfalen,33841,17037,16804,3770,2648,1122,4960,3569,1391,11.1,7.8,3.3,14.7,10.5,4.1
05154016,"Goch, Stadt",05,Nordrhein-Westfalen,33889,16990,16899,3745,2626,1119,3422,2389,1033,11.1,7.7,3.3,10.1,7.0,3.0
05154020,Issum,05,Nordrhein-Westfalen,12037,5896,6141,1321,953,368,960,715,245,11.0,7.9,3.1,8.0,5.9,2.0
05154024,"Kalkar, Stadt",05,Nordrhein-Westfalen,13854,6884,6970,1775,1291,484,1793,1243,550,12.8,9.3,3.5,12.9,9.0,4.0
05154028,Kerken,05,Nordrhein-Westfalen,13262,6670,6592,1338,957,381,1069,774,295,10.1,7.2,2.9,8.1,5.8,2.2
05154032,"Kevelaer, Stadt",05,Nordrhein-Westfalen,28311,13925,14386,3334,2394,940,3183,2291,892,11.8,8.5,3.3,11.2,8.1,3.2
05154036,"Kleve, Stadt",05,Nordrhein-Westfalen,49729,24457,25272,5385,3849,1536,6561,4641,1920,10.8,7.7,3.1,13.2,9.3,3.9
05154040,Kranenburg,05,Nordrhein-Westfalen,10648,5444,5204,1061,740,321,923,594,329,10.0,6.9,3.0,8.7,5.6,3.1
05154044,"Rees, Stadt",05,Nordrhein-Westfalen,21349,10608,10741,2581,1895,686,1875,1390,485,12.1,8.9,3.2,8.8,6.5,2.3
05154048,Rheurdt,05,Nordrhein-Westfalen,6709,3327,3382,636,467,169,394,299,95,9.5,7.0,2.5,5.9,4.5,1.4
05154052,"Straelen, Stadt",05,Nordrhein-Westfalen,15641,7768,7873,1993,1341,652,2012,1351,661,12.7,8.6,4.2,12.9,8.6,4.2
05154056,Uedem,05,Nordrhein-Westfalen,8266,4111,4155,950,649,301,730,517,213,11.5,7.9,3.6,8.8,6.3,2.6
05154060,Wachtendonk,05,Nordrhein-Westfalen,8189,4115,4074,913,632,281,876,613,263,11.1,7.7,3.4,10.7,7.5,3.2
05154064,Weeze,05,Nordrhein-Westfalen,10611,5350,5261,1159,861,298,918,615,303,10.9,8.1,2.8,8.7,5.8,2.9
05158004,"Erkrath, Fundort des Neanderthalers, Stadt",05,Nordrhein-Westfalen,44086,21054,23032,4349,2959,1390,4252,2849,1403,9.9,6.7,3.2,9.6,6.5,3.2
05158008,"Haan, Stadt",05,Nordrhein-Westfalen,30410,14579,15831,2817,1910,907,2849,1829,1020,9.3,6.3,3.0,9.4,6.0,3.4
05158012,"Heiligenhaus, Stadt",05,Nordrhein-Westfalen,25793,12654,13139,2610,1677,933,2108,1394,714,10.1,6.5,3.6,8.2,5.4,2.8
05158016,"Hilden, Stadt",05,Nordrhein-Westfalen,55185,26620,28565,5435,3506,1929,5777,3774,2003,9.8,6.4,3.5,10.5,6.8,3.6
05158020,"Langenfeld (Rheinland), Stadt",05,Nordrhein-Westfalen,58033,28239,29794,5384,3567,1817,6525,4264,2261,9.3,6.1,3.1,11.2,7.3,3.9
05158024,"Mettmann, Stadt",05,Nordrhein-Westfalen,38291,18413,19878,3460,2376,1084,3124,2132,992,9.0,6.2,2.8,8.2,5.6,2.6
05158026,"Monheim am Rhein, Stadt",05,Nordrhein-Westfalen,40885,19650,21235,4026,2736,1290,2673,1805,868,9.8,6.7,3.2,6.5,4.4,2.1
05158028,"Ratingen, Stadt",05,Nordrhein-Westfalen,87943,42217,45726,8521,5644,2877,8656,5720,2936,9.7,6.4,3.3,9.8,6.5,3.3
05158032,"Velbert, Stadt",05,Nordrhein-Westfalen,81430,39660,41770,8202,5400,2802,8060,5420,2640,10.1,6.6,3.4,9.9,6.7,3.2
05158036,"Wülfrath, Stadt",05,Nordrhein-Westfalen,21223,10362,10861,2064,1399,665,1798,1248,550,9.7,6.6,3.1,8.5,5.9,2.6
05162004,"Dormagen, Stadt",05,Nordrhein-Westfalen,64064,31816,32248,5692,3926,1766,4487,3094,1393,8.9,6.1,2.8,7.0,4.8,2.2
05162008,"Grevenbroich, Stadt",05,Nordrhein-Westfalen,63051,30723,32328,6007,4147,1860,4941,3432,1509,9.5,6.6,2.9,7.8,5.4,2.4
05162012,Jüchen,05,Nordrhein-Westfalen,23260,11590,11670,2172,1519,653,2123,1455,668,9.3,6.5,2.8,9.1,6.3,2.9
05162016,"Kaarst, Stadt",05,Nordrhein-Westfalen,43286,20812,22474,3729,2531,1198,3180,2195,985,8.6,5.8,2.8,7.3,5.1,2.3
05162020,"Korschenbroich, Stadt",05,Nordrhein-Westfalen,32922,16085,16837,2953,2067,886,2709,1868,841,9.0,6.3,2.7,8.2,5.7,2.6
05162022,"Meerbusch, Stadt",05,Nordrhein-Westfalen,54892,26183,28709,4692,3199,1493,4570,3066,1504,8.5,5.8,2.7,8.3,5.6,2.7
05162024,"Neuss, Stadt",05,Nordrhein-Westfalen,155414,75929,79485,15158,10019,5139,14161,9535,4626,9.8,6.4,3.3,9.1,6.1,3.0
05162028,Rommerskirchen,05,Nordrhein-Westfalen,13137,6512,6625,1131,785,346,790,529,261,8.6,6.0,2.6,6.0,4.0,2.0
05166004,"Brüggen, Burggemeinde",05,Nordrhein-Westfalen,15648,7677,7971,1765,1192,573,1657,1098,559,11.3,7.6,3.7,10.6,7.0,3.6
05166008,"Grefrath, Sport- und Freizeitgemeinde",05,Nordrhein-Westfalen,14914,7342,7572,1509,1016,493,1041,743,298,10.1,6.8,3.3,7.0,5.0,2.0
05166012,"Kempen, Stadt",05,Nordrhein-Westfalen,34837,16911,17926,3555,2419,1136,4161,2842,1319,10.2,6.9,3.3,11.9,8.2,3.8
05166016,"Nettetal, Stadt",05,Nordrhein-Westfalen,41964,20769,21195,4447,3133,1314,4026,2881,1145,10.6,7.5,3.1,9.6,6.9,2.7
05166020,Niederkrüchten,05,Nordrhein-Westfalen,15184,7487,7697,1454,974,480,1106,742,364,9.6,6.4,3.2,7.3,4.9,2.4
05166024,Schwalmtal,05,Nordrhein-Westfalen,19139,9441,9698,1893,1298,595,1637,1059,578,9.9,6.8,3.1,8.6,5.5,3.0
05166028,"Tönisvorst, Stadt",05,Nordrhein-Westfalen,29296,14301,14995,2847,1879,968,2901,1968,933,9.7,6.4,3.3,9.9,6.7,3.2
05166032,"Viersen, Stadt",05,Nordrhein-Westfalen,75931,36727,39204,7412,5132,2280,6864,4758,2106,9.8,6.8,3.0,9.0,6.3,2.8
05166036,"Willich, Stadt",05,Nordrhein-Westfalen,50748,24815,25933,4947,3286,1661,5002,3277,1725,9.7,6.5,3.3,9.9,6.5,3.4
05170004,Alpen,05,Nordrhein-Westfalen,12798,6375,6423,1321,955,366,1089,792,297,10.3,7.5,2.9,8.5,6.2,2.3
05170008,"Dinslaken, Stadt",05,Nordrhein-Westfalen,67452,32635,34817,6363,4741,1622,8264,6142,2122,9.4,7.0,2.4,12.3,9.1,3.1
05170012,"Hamminkeln, Stadt",05,Nordrhein-Westfalen,26996,13477,13519,3060,2206,854,2594,1834,760,11.3,8.2,3.2,9.6,6.8,2.8
05170016,Hünxe,05,Nordrhein-Westfalen,13771,6767,7004,1275,934,341,1253,916,337,9.3,6.8,2.5,9.1,6.7,2.4
05170020,"Kamp-Lintfort, Stadt",05,Nordrhein-Westfalen,37683,18588,19095,3965,3084,881,4131,3085,1046,10.5,8.2,2.3,11.0,8.2,2.8
05170024,"Moers, Stadt",05,Nordrhein-Westfalen,104529,50973,53556,9546,7138,2408,9964,7550,2414,9.1,6.8,2.3,9.5,7.2,2.3
05170028,"Neukirchen-Vluyn, Stadt",05,Nordrhein-Westfalen,27178,13184,13994,2614,1968,646,2509,1838,671,9.6,7.2,2.4,9.2,6.8,2.5
05170032,"Rheinberg, Stadt",05,Nordrhein-Westfalen,31023,15140,15883,2950,2142,808,2203,1634,569,9.5,6.9,2.6,7.1,5.3,1.8
05170036,Schermbeck,05,Nordrhein-Westfalen,13635,6750,6885,1498,1080,418,1542,1094,448,11.0,7.9,3.1,11.3,8.0,3.3
05170040,Sonsbeck,05,Nordrhein-Westfalen,8819,4363,4456,997,691,306,1409,994,415,11.3,7.8,3.5,16.0,11.3,4.7
05170044,"Voerde (Niederrhein), Stadt",05,Nordrhein-Westfalen,36675,18073,18602,3478,2625,853,2362,1789,573,9.5,7.2,2.3,6.4,4.9,1.6
05170048,"Wesel, Stadt",05,Nordrhein-Westfalen,60595,29522,31073,6048,4435,1613,6595,4909,1686,10.0,7.3,2.7,10.9,8.1,2.8
05170052,"Xanten, Stadt",05,Nordrhein-Westfalen,21510,10549,10961,2339,1695,644,2055,1528,527,10.9,7.9,3.0,9.6,7.1,2.5
05314000,"Bonn, Stadt",05,Nordrhein-Westfalen,318809,151954,166855,29483,19926,9557,37808,25881,11927,9.2,6.3,3.0,11.9,8.1,3.7
05315000,"Köln, Stadt",05,Nordrhein-Westfalen,1060582,516976,543606,98699,66046,32653,112571,75417,37154,9.3,6.2,3.1,10.6,7.1,3.5
05316000,"Leverkusen, Stadt",05,Nordrhein-Westfalen,163487,79590,83897,14107,9741,4366,12744,8877,3867,8.6,6.0,2.7,7.8,5.4,2.4
05334002,"Aachen, Stadt",05,Nordrhein-Westfalen,245885,127613,118272,28020,21347,6673,34989,26111,8878,11.4,8.7,2.7,14.2,10.6,3.6
05334004,"Alsdorf, Stadt",05,Nordrhein-Westfalen,46880,23281,23599,4831,3460,1371,3440,2488,952,10.3,7.4,2.9,7.3,5.3,2.0
05334008,"Baesweiler, Stadt",05,Nordrhein-Westfalen,26819,13120,13699,2807,1985,822,2162,1566,596,10.5,7.4,3.1,8.1,5.8,2.2
05334012,"Eschweiler, Stadt",05,Nordrhein-Westfalen,55909,27322,28587,5674,4102,1572,5155,3727,1428,10.1,7.3,2.8,9.2,6.7,2.6
05334016,"Herzogenrath, Stadt",05,Nordrhein-Westfalen,46583,22665,23918,4447,3123,1324,3029,2190,839,9.5,6.7,2.8,6.5,4.7,1.8
