rs,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent
05111,Düsseldorf,Nordrhein-Westfalen,05,612178,295896,316282,75109,30847,44262,12.3,10.4,14.0
05112,Duisburg,Nordrhein-Westfalen,05,491231,241417,249814,37129,15084,22045,7.6,6.2,8.8
05113,Essen,Nordrhein-Westfalen,05,582624,282565,300059,60551,24471,36080,10.4,8.7,12.0
05114,Krefeld,Nordrhein-Westfalen,05,225144,109487,115657,20927,8111,12816,9.3,7.4,11.1
05116,Mönchengladbach,Nordrhein-Westfalen,05,259996,127512,132484,28281,10704,17577,10.9,8.4,13.3
05117,Mülheim an der Ruhr,Nordrhein-Westfalen,05,169278,81461,87817,15644,6324,9320,9.2,7.8,10.6
05119,Oberhausen,Nordrhein-Westfalen,05,210934,103284,107650,20304,7447,12857,9.6,7.2,11.9
05120,Remscheid,Nordrhein-Westfalen,05,109499,53725,55774,11788,4487,7301,10.8,8.4,13.1
05122,Solingen,Nordrhein-Westfalen,05,158726,76948,81778,13985,5749,8236,8.8,7.5,10.1
05124,Wuppertal,Nordrhein-Westfalen,05,350046,170822,179224,33212,13483,19729,9.5,7.9,11.0
05154,Kleve,Nordrhein-Westfalen,05,310337,154988,155349,34563,13043,21520,11.1,8.4,13.9
05158,Mettmann,Nordrhein-Westfalen,05,483279,233448,249831,46568,18840,27728,9.6,8.1,11.1
05162,Rhein-Kreis Neuss,Nordrhein-Westfalen,05,450026,219650,230376,37887,14489,23398,8.4,6.6,10.2
05166,Viersen,Nordrhein-Westfalen,05,297661,145470,152191,29388,11364,18024,9.9,7.8,11.8
05170,Wesel,Nordrhein-Westfalen,05,462664,226396,236268,48031,17955,30076,10.4,7.9,12.7
05314,Bonn,Nordrhein-Westfalen,05,318809,151954,166855,38938,15901,23037,12.2,10.5,13.8
05315,Köln,Nordrhein-Westfalen,05,1060582,516976,543606,122235,51410,70825,11.5,9.9,13.0
05316,Leverkusen,Nordrhein-Westfalen,05,163487,79590,83897,12746,4723,8023,7.8,5.9,9.6
05334,Städteregion Aachen,Nordrhein-Westfalen,05,553922,279260,274662,66107,29607,36500,11.9,10.6,13.3
05358,Düren,Nordrhein-Westfalen,05,262828,130522,132306,28648,10514,18134,10.9,8.1,13.7
05362,Rhein-Erft-Kreis,Nordrhein-Westfalen,05,466657,228450,238207,43562,17344,26218,9.3,7.6,11.0
05366,Euskirchen,Nordrhein-Westfalen,05,191165,94759,96406,17865,6620,11245,9.3,7.0,11.7
05370,Heinsberg,Nordrhein-Westfalen,05,252527,124956,127571,26605,9714,16891,10.5,7.8,13.2
05374,Oberbergischer Kreis,Nordrhein-Westfalen,05,273452,134670,138782,28978,11120,17858,10.6,8.3,12.9
05378,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,05,282729,137438,145291,26967,10517,16450,9.5,7.7,11.3
