ags,name,bundesland_id,bundesland,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,mj_wohnort_insgesamt,mj_wohnort_ausschliesslich,mj_wohnort_nebenjob,mj_arbeitsort_insgesamt,mj_arbeitsort_ausschliesslich,mj_arbeitsort_nebenjob,mj_wohnort_insgesamt_prozent,mj_wohnort_ausschliesslich_prozent,mj_wohnort_nebenjob_prozent,mj_arbeitsort_insgesamt_prozent,mj_arbeitsort_ausschliesslich_prozent,mj_arbeitsort_nebenjob_prozent
15001000,"Dessau-Roßlau, Stadt",15,Sachsen-Anhalt,82919,40311,42608,3855,2906,949,3501,2666,835,4.6,3.5,1.1,4.2,3.2,1.0
15002000,"Halle (Saale), Stadt",15,Sachsen-Anhalt,236991,114581,122410,12634,10096,2538,14518,11488,3030,5.3,4.3,1.1,6.1,4.8,1.3
15003000,"Magdeburg, Landeshauptstadt",15,Sachsen-Anhalt,235723,115810,119913,12836,9870,2966,14062,10708,3354,5.4,4.2,1.3,6.0,4.5,1.4
15081030,"Arendsee (Altmark), Stadt",15,Sachsen-Anhalt,6929,3461,3468,414,291,123,312,218,94,6.0,4.2,1.8,4.5,3.1,1.4
15081135,"Gardelegen, Hansestadt",15,Sachsen-Anhalt,23148,11600,11548,1010,728,282,1097,793,304,4.4,3.1,1.2,4.7,3.4,1.3
15081240,"Kalbe (Milde), Stadt",15,Sachsen-Anhalt,7787,3955,3832,431,316,115,291,213,78,5.5,4.1,1.5,3.7,2.7,1.0
15081280,"Klötze, Stadt",15,Sachsen-Anhalt,10284,5057,5227,457,308,149,448,290,158,4.4,3.0,1.4,4.4,2.8,1.5
15081455,"Salzwedel, Hansestadt",15,Sachsen-Anhalt,24410,12136,12274,1545,1137,408,1751,1271,480,6.3,4.7,1.7,7.2,5.2,2.0
15081026,"Apenburg-Winterfeld, Flecken",15,Sachsen-Anhalt,1735,883,852,77,47,30,159,119,40,4.4,2.7,1.7,9.2,6.9,2.3
15081045,Beetzendorf,15,Sachsen-Anhalt,3236,1644,1592,142,86,56,102,75,27,4.4,2.7,1.7,3.2,2.3,0.8
15081095,Dähre,15,Sachsen-Anhalt,1474,765,709,86,59,27,64,45,19,5.8,4.0,1.8,4.3,3.1,1.3
15081105,"Diesdorf, Flecken",15,Sachsen-Anhalt,2385,1173,1212,130,87,43,74,49,25,5.5,3.6,1.8,3.1,2.1,1.0
15081225,Jübar,15,Sachsen-Anhalt,1660,840,820,83,57,26,42,28,14,5.0,3.4,1.6,2.5,1.7,0.8
15081290,Kuhfelde,15,Sachsen-Anhalt,1138,587,551,54,34,20,9,6,3,4.7,3.0,1.8,0.8,0.5,0.3
15081440,Rohrberg,15,Sachsen-Anhalt,1103,549,554,60,44,16,25,18,7,5.4,4.0,1.5,2.3,1.6,0.6
15081545,Wallstawe,15,Sachsen-Anhalt,875,454,421,48,33,15,23,18,5,5.5,3.8,1.7,2.6,2.1,0.6
15082005,"Aken (Elbe), Stadt",15,Sachsen-Anhalt,7799,3808,3991,350,276,74,225,180,45,4.5,3.5,0.9,2.9,2.3,0.6
15082015,"Bitterfeld-Wolfen, Stadt",15,Sachsen-Anhalt,40480,19572,20908,1705,1301,404,1715,1261,454,4.2,3.2,1.0,4.2,3.1,1.1
15082180,"Köthen (Anhalt), Stadt",15,Sachsen-Anhalt,26519,12963,13556,1381,1119,262,1490,1199,291,5.2,4.2,1.0,5.6,4.5,1.1
15082241,Muldestausee,15,Sachsen-Anhalt,11899,5949,5950,450,322,128,273,199,74,3.8,2.7,1.1,2.3,1.7,0.6
15082256,Osternienburger Land,15,Sachsen-Anhalt,8867,4496,4371,415,319,96,212,160,52,4.7,3.6,1.1,2.4,1.8,0.6
15082301,"Raguhn-Jeßnitz, Stadt",15,Sachsen-Anhalt,9493,4735,4758,363,270,93,241,188,53,3.8,2.8,1.0,2.5,2.0,0.6
15082340,"Sandersdorf-Brehna, Stadt",15,Sachsen-Anhalt,14478,7071,7407,575,431,144,387,272,115,4.0,3.0,1.0,2.7,1.9,0.8
15082377,"Südliches Anhalt, Stadt",15,Sachsen-Anhalt,13810,6861,6949,478,372,106,323,260,63,3.5,2.7,0.8,2.3,1.9,0.5
15082430,"Zerbst/Anhalt, Stadt",15,Sachsen-Anhalt,22055,10823,11232,945,717,228,945,705,240,4.3,3.3,1.0,4.3,3.2,1.1
