rs,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent
15001,Dessau-Roßlau,Sachsen-Anhalt,15,82919,40311,42608,3540,1479,2061,4.3,3.7,4.8
15002,Halle (Saale),Sachsen-Anhalt,15,236991,114581,122410,15051,6642,8409,6.4,5.8,6.9
15003,Magdeburg,Sachsen-Anhalt,15,235723,115810,119913,14380,6387,7993,6.1,5.5,6.7
15081,Altmarkkreis Salzwedel,Sachsen-Anhalt,15,86164,43104,43060,4691,2083,2608,5.4,4.8,6.1
15082,Anhalt-Bitterfeld,Sachsen-Anhalt,15,164817,80940,83877,6771,2998,3773,4.1,3.7,4.5
15083,Börde,Sachsen-Anhalt,15,173473,86819,86654,7565,3423,4142,4.4,3.9,4.8
15084,Burgenlandkreis,Sachsen-Anhalt,15,184081,91276,92805,8701,3645,5056,4.7,4.0,5.4
15085,Harz,Sachsen-Anhalt,15,221366,109026,112340,11857,4966,6891,5.4,4.6,6.1
15086,Jerichower Land,Sachsen-Anhalt,15,91693,45870,45823,3967,1785,2182,4.3,3.9,4.8
15087,Mansfeld-Südharz,Sachsen-Anhalt,15,141408,69831,71577,5643,2265,3378,4.0,3.2,4.7
15088,Saalekreis,Sachsen-Anhalt,15,186431,92339,94092,8779,3965,4814,4.7,4.3,5.1
15089,Salzlandkreis,Sachsen-Anhalt,15,196695,96161,100534,8034,3269,4765,4.1,3.4,4.7
15090,Stendal,Sachsen-Anhalt,15,115262,57194,58068,5421,2342,3079,4.7,4.1,5.3
15091,Wittenberg,Sachsen-Anhalt,15,128447,63427,65020,5606,2163,3443,4.4,3.4,5.3
