rs,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent
16051,Erfurt,Thüringen,16,210118,102259,107859,17042,7455,9587,8.1,7.3,8.9
16052,Gera,Thüringen,16,96011,46414,49597,4385,1771,2614,4.6,3.8,5.3
16053,Jena,Thüringen,16,109527,54467,55060,8648,3911,4737,7.9,7.2,8.6
16054,Suhl,Thüringen,16,36778,18071,18707,3344,1505,1839,9.1,8.3,9.8
16055,Weimar,Thüringen,16,64131,31002,33129,4380,1862,2518,6.8,6.0,7.6
16056,Eisenach,Thüringen,16,42417,20810,21607,2819,1210,1609,6.6,5.8,7.4
16061,Eichsfeld,Thüringen,16,101325,50927,50398,5869,2631,3238,5.8,5.2,6.4
16062,Nordhausen,Thüringen,16,85355,42292,43063,4076,1709,2367,4.8,4.0,5.5
16063,Wartburgkreis,Thüringen,16,125655,62914,62741,6411,2524,3887,5.1,4.0,6.2
16064,Unstrut-Hainich-Kreis,Thüringen,16,105273,52367,52906,5566,2409,3157,5.3,4.6,6.0
16065,Kyffhäuserkreis,Thüringen,16,77110,38432,38678,3128,1242,1886,4.1,3.2,4.9
16066,Schmalkalden-Meiningen,Thüringen,16,124623,62268,62355,8121,3667,4454,6.5,5.9,7.1
16067,Gotha,Thüringen,16,136831,68341,68490,7105,3169,3936,5.2,4.6,5.7
16068,Sömmerda,Thüringen,16,70600,35274,35326,3346,1467,1879,4.7,4.2,5.3
16069,Hildburghausen,Thüringen,16,64524,32271,32253,2906,1233,1673,4.5,3.8,5.2
16070,Ilm-Kreis,Thüringen,16,109620,55077,54543,5708,2588,3120,5.2,4.7,5.7
16071,Weimarer Land,Thüringen,16,82127,40784,41343,4107,1929,2178,5.0,4.7,5.3
16072,Sonneberg,Thüringen,16,56818,27912,28906,3027,1377,1650,5.3,4.9,5.7
16073,Saalfeld-Rudolstadt,Thüringen,16,109278,53769,55509,5524,2390,3134,5.1,4.4,5.6
16074,Saale-Holzland-Kreis,Thüringen,16,86184,43322,42862,3750,1749,2001,4.4,4.0,4.7
16075,Saale-Orla-Kreis,Thüringen,16,82951,41022,41929,4074,1858,2216,4.9,4.5,5.3
16076,Greiz,Thüringen,16,101114,49814,51300,4672,1963,2709,4.6,3.9,5.3
16077,Altenburger Land,Thüringen,16,92344,45330,47014,4391,1808,2583,4.8,4.0,5.5
