rs,state,t_all_rel
01001,01,9.3
01002,01,8.6
01003,01,6.5
01004,01,7.5
01051,01,6.8
01053,01,5.2
01054,01,7.0
01055,01,7.5
01056,01,5.6
01057,01,6.0
01058,01,6.2
01059,01,6.2
01060,01,6.0
01061,01,5.8
01062,01,5.9
02000,02,6.0
03101,03,6.9
03102,03,4.7
03103,03,6.5
03151,03,4.7
03152,03,7.0
03153,03,5.9
03154,03,4.2
03155,03,5.8
03156,03,5.5
03157,03,5.4
03158,03,4.6
03241,03,6.5
03251,03,8.1
03252,03,5.9
03254,03,6.3
03255,03,6.0
03256,03,7.0
03257,03,5.8
03351,03,5.8
03352,03,6.3
03353,03,6.0
03354,03,5.3
03355,03,5.8
03356,03,5.8
03357,03,7.1
03358,03,7.1
03359,03,7.2
03360,03,5.5
03361,03,6.2
03401,03,9.0
03402,03,10.6
03403,03,8.7
03404,03,11.1
03405,03,7.1
03451,03,6.6
03452,03,7.0
03453,03,9.1
03454,03,8.8
03455,03,6.4
03456,03,9.4
03457,03,8.0
03458,03,5.8
03459,03,7.3
03460,03,12.1
03461,03,5.8
03462,03,7.0
04011,04,7.2
04012,04,6.7
05111,05,8.0
05112,05,5.6
05113,05,7.5
05114,05,6.3
05116,05,7.5
05117,05,6.6
05119,05,7.1
05120,05,7.1
05122,05,5.7
05124,05,6.5
05154,05,7.9
05158,05,6.3
05162,05,5.7
05166,05,6.8
05170,05,7.7
05314,05,8.4
05315,05,7.7
05316,05,5.3
05334,05,8.7
05358,05,7.7
05362,05,6.2
05366,05,6.2
05370,05,7.8
05374,05,6.9
05378,05,6.3
05382,05,7.0
05512,05,6.8
05513,05,6.8
05515,05,9.2
05554,05,9.4
05558,05,7.2
05562,05,6.4
05566,05,8.1
05570,05,7.5
05711,05,7.5
05754,05,7.3
05758,05,6.0
05762,05,6.7
05766,05,5.9
05770,05,6.5
05774,05,8.1
05911,05,6.8
05913,05,6.7
05914,05,6.8
05915,05,6.9
05916,05,5.1
05954,05,5.8
05958,05,8.5
05962,05,6.9
05966,05,8.0
05970,05,8.0
05974,05,7.2
05978,05,6.5
06411,06,8.8
06412,06,6.7
06413,06,6.0
06414,06,6.1
06431,06,6.4
06432,06,6.1
06433,06,5.4
06434,06,5.2
06435,06,5.8
06436,06,5.3
06437,06,6.2
06438,06,5.9
06439,06,5.7
06440,06,5.7
06531,06,8.0
06532,06,6.8
06533,06,6.5
06534,06,7.1
06535,06,6.9
06611,06,9.4
06631,06,7.5
06632,06,5.9
06633,06,5.3
06634,06,5.8
06635,06,6.5
06636,06,5.6
07111,07,9.5
07131,07,7.5
07132,07,7.3
07133,07,6.1
07134,07,6.3
07135,07,8.2
07137,07,8.0
07138,07,5.9
07140,07,7.1
07141,07,6.0
07143,07,8.0
07211,07,10.2
07231,07,7.1
07232,07,6.6
07233,07,7.7
07235,07,6.6
07311,07,5.8
07312,07,9.5
07313,07,9.9
07314,07,7.0
07315,07,8.7
07316,07,6.9
07317,07,7.6
07318,07,8.5
07319,07,6.3
07320,07,7.0
07331,07,5.8
07332,07,6.4
07333,07,5.6
07334,07,6.2
07335,07,5.2
07336,07,5.0
07337,07,6.2
07338,07,6.5
07339,07,5.6
07340,07,4.4
08111,08,6.7
08115,08,6.5
08116,08,6.6
08117,08,5.8
08118,08,5.4
08119,08,6.4
08121,08,9.2
08125,08,6.0
08126,08,6.3
08127,08,6.8
08128,08,7.0
08135,08,6.0
08136,08,6.7
08211,08,9.4
08212,08,7.3
08215,08,6.5
08216,08,5.7
08221,08,9.1
08222,08,8.1
08225,08,5.6
08226,08,6.0
08231,08,6.8
08235,08,5.6
08236,08,5.1
08237,08,6.9
08311,08,9.4
08315,08,7.6
08316,08,7.1
08317,08,7.5
08325,08,7.1
08326,08,7.4
08327,08,7.3
08335,08,8.4
08336,08,6.4
08337,08,6.8
08415,08,6.5
08416,08,7.4
08417,08,6.0
08421,08,12.7
08425,08,5.8
08426,08,7.0
08435,08,7.3
08436,08,8.2
08437,08,6.8
09161,09,7.2
09162,09,6.0
09163,09,9.5
09171,09,6.6
09172,09,6.4
09173,09,6.0
09174,09,5.7
09175,09,5.2
09176,09,5.4
09177,09,5.7
09178,09,5.4
09179,09,4.9
09180,09,6.2
09181,09,5.9
09182,09,6.3
09183,09,6.0
09184,09,6.6
09185,09,6.1
09186,09,5.1
09187,09,6.0
09188,09,5.7
09189,09,6.2
09190,09,7.6
09261,09,10.9
09262,09,13.1
09263,09,8.6
09271,09,7.2
09272,09,6.7
09273,09,6.1
09274,09,5.8
09275,09,6.2
09276,09,6.6
09277,09,6.3
09278,09,5.3
09279,09,10.4
09361,09,8.4
09362,09,11.7
09363,09,13.0
09371,09,4.7
09372,09,6.7
09373,09,5.9
09374,09,4.6
09375,09,4.9
09376,09,5.8
09377,09,5.2
09461,09,14.6
09462,09,10.2
09463,09,7.0
09464,09,8.2
09471,09,5.1
09472,09,4.1
09473,09,3.9
09474,09,5.2
09475,09,4.2
09476,09,5.2
09477,09,5.2
09478,09,5.5
09479,09,4.9
09561,09,8.4
09562,09,8.6
09563,09,4.8
09564,09,6.9
09565,09,5.3
09571,09,5.1
09572,09,4.4
09573,09,3.9
09574,09,5.4
09575,09,5.6
09576,09,5.0
09577,09,5.9
09661,09,9.7
09662,09,9.3
09663,09,12.6
09671,09,6.1
09672,09,7.0
09673,09,6.0
09674,09,7.8
09675,09,6.7
09676,09,7.1
09677,09,6.3
09678,09,4.7
09679,09,5.6
09761,09,8.2
09762,09,6.2
09763,09,9.4
09764,09,8.5
09771,09,6.4
09772,09,5.5
09773,09,5.6
09774,09,6.2
09775,09,6.1
09776,09,6.2
09777,09,5.9
09778,09,6.2
09779,09,6.9
09780,09,6.4
10041,10,8.3
10042,10,6.2
10043,10,6.2
10044,10,6.6
10045,10,6.7
10046,10,6.4
11000,11,4.3
12051,12,4.5
12052,12,6.6
12053,12,5.4
12054,12,5.7
12060,12,3.3
12061,12,3.6
12062,12,3.4
12063,12,3.4
12064,12,3.2
12065,12,3.5
12066,12,3.9
12067,12,3.2
12068,12,3.8
12069,12,5.5
12070,12,3.3
12071,12,3.8
12072,12,3.3
12073,12,3.7
13003,13,5.3
13004,13,5.3
13071,13,3.8
13072,13,5.1
13073,13,4.0
13074,13,4.2
13075,13,4.0
13076,13,4.4
14511,14,5.3
14521,14,3.9
14522,14,3.8
14523,14,3.8
14524,14,4.3
14612,14,5.0
14625,14,4.1
14626,14,3.7
14627,14,3.5
14628,14,3.5
14713,14,5.0
14729,14,3.4
14730,14,3.7
15001,15,3.2
15002,15,5.0
15003,15,4.6
15081,15,4.0
15082,15,3.2
15083,15,3.2
15084,15,3.6
15085,15,4.0
15086,15,3.3
15087,15,3.1
15088,15,3.6
15089,15,3.2
15090,15,3.5
15091,15,3.4
16051,16,5.8
16052,16,3.3
16053,16,6.2
16054,16,6.3
16055,16,5.1
16056,16,4.5
16061,16,4.0
16062,16,3.6
16063,16,3.7
16064,16,3.9
16065,16,3.1
16066,16,4.5
16067,16,3.6
16068,16,3.5
16069,16,3.0
16070,16,3.8
16071,16,3.6
16072,16,3.5
16073,16,3.5
16074,16,3.2
16075,16,3.4
16076,16,3.3
16077,16,3.6
