state,t_all,m_all,f_all,t_total_pop,m_total_pop,f_total_pop,t_main,t_main_pop,t_all_pop,m_main,m_main_pop,m_all_pop,f_main,f_main_pop,f_all_pop,t_all_rel,m_all_rel,f_all_rel,t_main_rel,m_main_rel,f_main_rel
01,186446,73110,113336,2858714,1399458,1459256,103543,1524882,2484179,32091,758317,1207368,71452,766565,1276811,7.5,6.1,8.9,6.8,4.2,9.3
02,106888,42807,64081,1787408,873062,914346,56521,1022561,1545552,19334,509736,748717,37187,512825,796835,6.9,5.7,8.0,5.5,3.8,7.3
03,545651,198964,344373,7926599,3915398,4011201,318962,4260473,6863835,87902,2147487,3368849,231060,2112986,3494986,7.9,5.9,9.9,7.5,4.1,10.9
04,47675,19672,28003,671489,330895,340594,27197,365735,585079,9420,185601,286289,17777,180134,298790,8.1,6.9,9.4,7.4,5.1,9.9
05,1272076,467414,804662,17865516,8768019,9097497,767804,9741228,15461652,218831,4879609,7529724,548973,4861619,7931928,8.2,6.2,10.1,7.9,4.5,11.3
06,394581,147593,246988,6176172,3047730,3128442,227450,3404807,5341984,65853,1708967,2618998,161597,1695840,2722986,7.4,5.6,9.1,6.7,3.9,9.5
07,282735,103698,178019,4052803,1999333,2053470,162016,2220439,3526544,44902,1117616,1728343,117114,1102823,1798201,8.0,6.0,9.9,7.3,4.0,10.6
08,746385,272025,474360,10879618,5393388,5486230,409306,5954049,9384345,105946,3011021,4625428,303360,2943028,4758917,8.0,5.9,10.0,6.9,3.5,10.3
09,819986,282569,536032,12843514,6352172,6491342,473759,7108432,11130997,117527,3587347,5473494,356232,3521085,5657503,7.4,5.2,9.5,6.7,3.3,10.1
10,69948,25828,44120,995597,488631,506966,45166,547597,880514,13612,275855,429050,31554,271742,451464,7.9,6.0,9.8,8.2,4.9,11.6
11,152821,69466,83355,3520031,1726533,1793498,88536,2035462,3045900,39023,1025918,1482957,49513,1009544,1562943,5.0,4.7,5.3,4.3,3.8,4.9
12,99108,44386,52704,2484826,1228283,1256543,60467,1416475,2174373,25299,722761,1068544,35168,693714,1105829,4.6,4.2,4.8,4.3,3.5,5.1
13,71538,33789,37749,1612362,797832,814530,43050,921649,1414168,18941,474608,696289,24109,447041,717879,5.1,4.9,5.3,4.7,4.0,5.4
14,172106,77884,94222,4084851,2011561,2073290,97403,2230102,3566627,39867,1150891,1745532,57536,1079211,1821095,4.8,4.5,5.2,4.4,3.5,5.3
15,83919,34526,44822,2245470,1106689,1138781,51874,1248456,1983535,20508,643498,971692,31366,604958,1011843,4.2,3.6,4.4,4.2,3.2,5.2
16,88028,33574,43327,2170714,1075139,1095575,49672,1214191,1905274,19901,627761,938798,29771,586430,966476,4.6,3.6,4.5,4.1,3.2,5.1
